client_id,nombre_app,institucion,sector
c903547270494f4faf739d1f3df256e2,.:: #YoTeAyudoMilVeces - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
fc12644f5114443884845052a193f028,.:: ACCESO - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
00205f8dceca421a9cf184e0bfbf49fd,.:: Alianza del Pacifico ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
fb3581b21db747ca865a4b7809339752,.:: Bolsa de Talleristas 3 - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
cf2523621e474ed1bea4b24cae6e4d50,.:: Campus INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
4e9fb41da1fc4a82b87bbdb2cd16c8f2,.:: Casa Taller | INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
f9650909947a4180a07302110ab8a324,.:: Concurso 3 Mil Veces ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
213976d789c94692a5c1799c0c95c7e1,.:: Concurso Encuentros Regionales Creamos ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
ccced35f6e76450d8ee16b164b1478ca,.:: Concurso Tesis - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
5dd1fa3410c54f68bff82a35a895c82f,.:: Día del Patrimonio - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
ff8e7bbfdb4c4d0794502e2ebbdbb609,.:: Emprende Joven - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
7761002c1bdf48018203b7486ba1fe78,.:: Escuela INHUB ::. INJUV 2020,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
d1c4142f09f44921b1ffe380c89218d0,.:: Firma Digital - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
d425d1b632334d40a0f370aeba1c1a0b,.:: Mercado Joven - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
f26b289041b74f44a34c9948ee819fb2,.:: Mi Emprendimiento ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
7be34ebb265a4a7cb9ba796f4bab7aa5,.:: OIRS - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
7cd17cd0f8524f60b491c7692006dd82,.:: Red Nacional de Organizaciones - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
dfd8629588744588b72e351c6c1780e6,.:: Tarjeta Joven - INJUV ::.,Instituto Nacional de la Juventud,Ministerio de Desarrollo Social y Familia
59dd121f53ac44ddb03bf52488eec671,.SCSE.,Subsecretaría de Hacienda,Ministerio de Hacienda
2301589ed68c4bc2885b07a37bfd6011,[DIP - Testing] - Sistema de declaraciones de Intereses y Patrimonio,Contraloría General de la República,Contraloría
d5c70a190e8d47fd9dce04ddfdfe040d,[DIP] - Sistema de declaraciones de Intereses y Patrimonio,Contraloría General de la República,Contraloría
f738a88353104bfab9174aa8e0b3c94b,1TA-Sistema Gestión de Causas,Primer Tribunal Ambiental,Otros Poderes
afc401635c6a4ec38b2973b67acf68e6,2da Consulta sobre Discriminación en Chile,Ministerio Secretaría General de Gobierno,Ministerio Secretaría General de Gobierno
e14510f75a2a488c98edf1c88b445540,Academia INE,Instituto Nacional de Estadísticas,"Ministerio de Economía, Fomento y Turismo"
fb944d98fea445bda57de000993d3e25,Accede a tu Portal Paciente,Servicio de Salud Maule,Ministerio de Salud
54d69d2bfc1d455185885b56eed7d514,Acceso ANiD,Agencia Nacional de Investigación y Desarrollo,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación"
