anio,mes,eventos,usuarios_unicos
2024,2024-01,20707217,5621085
2024,2024-02,18496407,5296422
2024,2024-03,22149590,6034090
2024,2024-04,26715049,6635537
2024,2024-05,21980289,5822226
2024,2024-06,19710006,5471847
2024,2024-07,26167484,7218037
2024,2024-08,21732334,5863889
2024,2024-09,19152624,5577509
2024,2024-10,23821567,6467830
2024,2024-11,21157088,5776346
2024,2024-12,19637189,5399240
2025,2025-01,23417497,6171480
2025,2025-02,19532682,5571404
2025,2025-03,25097361,6499079
2025,2025-04,27889997,6870534
2025,2025-05,23406451,6081256
2025,2025-06,22834853,6074087
2025,2025-07,25748217,6566825
2025,2025-08,23939035,6071553
2025,2025-09,21527423,5878757
2025,2025-10,24174054,6216666
2025,2025-11,23482761,6317574
2025,2025-12,22258696,6130071
