anio,servicio,institucion,eventos,usuarios_unicos,eventos_por_usuario,share_pct,segmento
TOTAL,9b9d3e3ece844158b34a416ddcfd686b,Gobierno Regional de la Región de la Araucanía,21327.0,223.0,95.64,0.0039,Baja cobertura / Alta intensidad
TOTAL,1bb1657eb2eb43808f0529810258aa3b,Defensoría Penal Pública,690304.0,10286.0,67.11,0.1267,Alta cobertura / Alta intensidad
TOTAL,15fd49e7f00a4e7290700469cea0cfad,Secretaría de Gobierno Digital,1271.0,20.0,63.55,0.0002,Baja cobertura / Alta intensidad
TOTAL,56da1c80cfea4a5b83326bfef271fc3e,Ministerio Público,290003.0,4930.0,58.82,0.0532,Baja cobertura / Alta intensidad
TOTAL,abd6ab0229c643338812eb3a1707c053,Gobierno Regional de la Región de Antofagasta,33076.0,570.0,58.03,0.0061,Baja cobertura / Alta intensidad
TOTAL,16ffe077cc1a4b11a19bea91abce6f9c,Subsecretaría de Justicia,212694.0,3826.0,55.59,0.039,Baja cobertura / Alta intensidad
TOTAL,c540003954c9411cbcf7836bdce30311,Ministerio Secretaría General de Gobierno,10619.0,202.0,52.57,0.0019,Baja cobertura / Alta intensidad
TOTAL,a3c2ead0fc68405f90176c9920439001,Municipalidad de Taltal,10884.0,208.0,52.33,0.002,Baja cobertura / Alta intensidad
TOTAL,e1669d0517f14a979d9a93159b4906b0,Presidencia de la República,98072.0,1875.0,52.31,0.018,Baja cobertura / Alta intensidad
TOTAL,f72815499f1b4b018cd1792d91e81249,Municipalidad de Recoleta,8287.0,160.0,51.79,0.0015,Baja cobertura / Alta intensidad
TOTAL,b03b7030f1014eb2bbc31b681f8ae2d7,Instituto Nacional de la Juventud,15767.0,314.0,50.21,0.0029,Baja cobertura / Alta intensidad
TOTAL,3d53606b24144d12b360d33834a62638,Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo,1549.0,31.0,49.97,0.0003,Baja cobertura / Alta intensidad
TOTAL,295b6153828349ea914a9cda6020bafa,Municipalidad de Licantén,6468.0,131.0,49.37,0.0012,Baja cobertura / Alta intensidad
TOTAL,3009f6f4befb498fbed7dbf1b189f47c,Comision Nacional de Riego,161599.0,3291.0,49.1,0.0297,Baja cobertura / Alta intensidad
TOTAL,07952a562f22499fa4ff126fbcbe1156,Municipalidad de Diego de Almagro,3205.0,68.0,47.13,0.0006,Baja cobertura / Alta intensidad
TOTAL,463f33b89c2c4f13aa89f8f5d5096d6a,Municipalidad de Vallenar,48596.0,1083.0,44.87,0.0089,Baja cobertura / Alta intensidad
