servicio,institucion,eventos,usuarios_unicos,eventos_por_usuario,share_pct,segmento
d602a0071f3f4db8b37a87cffd89bf23,PODER JUDICIAL,57453260.0,3849651.0,14.92,10.547,Alta cobertura / Alta intensidad
123,SRCeI,41343248.0,14865906.0,2.78,7.5896,Alta cobertura / Baja intensidad
2549b51828ce40af920a932dd2102217,Servicio de Impuestos Internos,33113484.0,8922347.0,3.71,6.0788,Alta cobertura / Baja intensidad
e8dde9d26979498786c6ba5a82f70ad3,"Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",28122590.0,7458668.0,3.77,5.1626,Alta cobertura / Baja intensidad
495c261c0f484bd08e232f7358452c4d,Comisión para el Mercado Financiero,21614454.0,5869140.0,3.68,3.9679,Alta cobertura / Baja intensidad
672f76fa24044d36b28fd11b50d7a4ec,MINISTERIO DE DESARROLLO SOCIAL,21478518.0,8238413.0,2.61,3.9429,Alta cobertura / Baja intensidad
67339e06f4b44f78994ff4785178807a,Dirección de Compras y Contratación Pública,21302820.0,683109.0,31.19,3.9107,Alta cobertura / Alta intensidad
67eb30db49f240b08ab2b3f422f92cdf,Dirección del Trabajo,21205476.0,3871580.0,5.48,3.8928,Alta cobertura / Alta intensidad
ffaec74bfd414f8394bab077a989e27f,Instituto de Previsión Social,19015669.0,4758569.0,4.0,3.4908,Alta cobertura / Alta intensidad
209ce526160947f0b398566cd4cbfd0d,Servicio Nacional de Capacitacion y Empleo,17562537.0,4364866.0,4.02,3.224,Alta cobertura / Alta intensidad
b4206ac5e3224dfd900588a8f7caf95e,Fondo Nacional de Salud,16781163.0,7095382.0,2.37,3.0806,Alta cobertura / Baja intensidad
4a94478dd25f4430a0a023b87e11170d,Subsecretaría de Salud Pública,16326087.0,2215749.0,7.37,2.9971,Alta cobertura / Alta intensidad
ae4caa1cb2154cac89440f3fe18251cb,Corporación Administrativa del Poder Judicial,12343204.0,2585357.0,4.77,2.2659,Alta cobertura / Alta intensidad
9a76efc4c34e4bd7843206658dc45454,Secretaría de Gobierno Digital,12221700.0,7735427.0,1.58,2.2436,Alta cobertura / Baja intensidad
c82f84bf3f2b451393445a0cb6883665,Subsecretaría de Evaluación Social,9978092.0,4150142.0,2.4,1.8317,Alta cobertura / Baja intensidad
79bvfghg9a0a8tm25d16sddg7d61d4710,Secretaría de Gobierno Digital,6263056.0,1056990.0,5.93,1.1497,Alta cobertura / Alta intensidad
f883bd6d70b043a09837e8b888fe3f65,Subsecretaría de Economía y Empresas de Menor Tamaño,5991128.0,1287132.0,4.65,1.0998,Alta cobertura / Alta intensidad
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,Servicio Civil,5828129.0,867539.0,6.72,1.0699,Alta cobertura / Alta intensidad
dd7629fec91f4599b3cf8c0dd0b984ac,Fondo Nacional de Salud,5772492.0,2840379.0,2.03,1.0597,Alta cobertura / Baja intensidad
dc8bcd185ce744798ceb1d9370f31bbc,Subsecretaría de Evaluación Social,5447485.0,3922680.0,1.39,1.0,Alta cobertura / Baja intensidad
