"client_id","nombre_app","institucion"
"0062dc8c31ca4560b766f7063181eaab",SADOC,Superintendencia de Servicios Sanitarios
"011e11bb458d4c62950d7eeb3424bf0f",SIMPLE SAG DESA,Servicio Agrícola y Ganadero
"01b56ab5b9be43e19fa06300994787ec",Bitácora Web,Ministerio Público
"1dc3c4426e8a47459c4bc157ee2e598b",Intranet-Municipalidad SFDO,Municipalidad de San Fernando
"0380e726a53e4770ac2a9c8e94a0a0cd",Registro de Organizaciones,Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo
"06f30fad11ca438b96559e7dabcccc19",Municipalidad de Maipú,Municipalidad de Maipú
"048ab3a7acb54da88960434d9783879f",Comunidad Joven,Instituto Nacional de la Juventud
"05877e8556fa4c0ca458d131265ffd99",SOLCIU - Solicitudes Ciudadanas,Secretaria del interior
"05bbaa0671654c4c98093ce34d70d7a7",mbn-app,Option
"061230af8491491e8777333096d1d6de",sise portal,Subsecretaría de Evaluación Social
"07952a562f22499fa4ff126fbcbe1156",Intranet Municipal,Municipalidad de Diego de Almagro
"07a84b1e783a4617a1b515c2dbab8c81",OIRS,Consejo de Defensa del Estado
"08bc820b6600424fb6d35b6cb95ebafe",Gestiona Canal,Comision Nacional de Riego
"0a0b41b45e2143ad8d97436f8561b1ca",Sistemas Recoleta,Municipalidad de Recoleta
"0a750e36725e495ba32bd43a5f170724",FUAS-Mineduc,Subsecretaría de Educación
"0ab1e93ecead43d5a33693361dc212ac",Municipalidad de Estación Central - Simple,Municipalidad de Estación Central
"0b145fb41bc84dc58a5beb5b4ef11b17",Servicios en linea,Caja de Previsión de la Defensa Nacional
"0c9b4939dda942a09aff8e8b1db03917",Portal Paciente LIS,Servicio de Salud Metropolitano Sur
"0dc2280ec9a145b09e9437a060c26812",Donación de Bienes,Subsecretaría de Bienes Nacionales
"0de1d45e2c4b467b990d180955a743bf",FED Apolinav,Academia Politecnica Naval
"0e147b79eed04d78ab7440918ef65944",Sistema de gestión de causas,TERCER TRIBUNAL AMBIENTAL
"0f09709c70c441b59a6fe616f84a5302",Segundo Tribunal Ambiental,Segundo Tribunal Ambiental
"0f33ab6447034fe49d1629353a119e47",Superintendencia en Línea - Mi Portal,Superintendencia de Seguridad Social
"0faae9b6b5084555a1873eff484b4d9c",Agendamiento Licencia Conducir,Municipalidad de Puente Alto
"0fee9ea463cb4ae5b1f27bdf560dfbfe",HOSPITAL DIPRECA,Dirección de Previsión de Carabineros de Chile
"1131b76bdb5f402dac9ae73e27c84697",OFICINA INTERNET 2.0,CORPORACION NACIONAL DE DESARROLLO INDIGENA
"113bcf3fa4d04d64abbdd055953e4b17",Bolsa nacional de empleo,Subsecretaría del Trabajo
"117d6d62a9844fd38fdb5d53e5cbc844",TRASPASO DEL DOMINIO DE BIENES,Fondo de Solidaridad e Inversión Social
"0f9a63f6078642bbb04083ba82e1f573",Municipalidad de Angol,Municipalidad de Angol
"12b208d73b2647a38bf2842b760a44f8",Mis Citas Salud,Servicio Salud Metropolitano Oriente
"12fb421a8400464b989ba7560a71061f",Plataforma CCGE,Subsecretaría de Energía
"13ca4adfb0904ccc93ceb07584706346",Sistema Vigilancia Integrada,Instituto de Salud Pública de Chile
"1446806f433c4ef18d8afa256ac44850",Registro de Proyectos Mineros,Servicio Nacional de Geología y Minería
"146626a8e3914f21958d0e28091cbcfe",aula.fosis.gob.cl,Fondo de Solidaridad e Inversión Social
"14cc5dc0682d44fe99d2d91e1eaafac7",SIMPLE,Corporación Nacional de Desarrollo Indígena
"14d18ddf0040428ba873810f3e64e7a9",Vinculación EF en APS,Subsecretaría de Salud Pública
"1605f4f57cb349c8bd87a4ddb146a150",Software IPAE,Servicio Salud Maule
