month,sector,count
2024-01,Ministerio de Hacienda,3457962
2024-01,Ministerio del Trabajo y Previsión Social,3176655
2024-01,Otros Poderes,2560595
2024-01,Ministerio de Salud,2543559
2024-01,Ministerio de Justicia y Derechos Humanos,1962481
2024-01,Empresa Privada,1948420
2024-01,Ministerio de Desarrollo Social y Familia,1691256
2024-01,"Ministerio de Economía, Fomento y Turismo",450338
2024-01,Autónomo,320311
2024-01,Ministerio del Interior y Seguridad Pública,223781
2024-01,Ministerio de Defensa Nacional,176155
2024-01,Servicio,171241
2024-01,Ministerio de Agricultura,163804
2024-01,Ministerio de Educación,145070
2024-01,Municipalidad,112885
2024-01,Ministerio de Transportes y Telecomunicaciones,97964
2024-01,Ministerio de Vivienda y Urbanismo,91137
2024-01,Ministerio Secretaría General de la Presidencia de la República,90051
2024-01,Contraloría,75233
2024-01,Ministerio del Medio Ambiente,48328
2024-01,"Ministerio de las Culturas, las Artes y el Patrimonio",36413
2024-01,Ministerio de Energía,26495
2024-01,Ministerio de Obras Públicas,20617
2024-01,Fuerzas Armadas,18624
2024-01,Ministerio Secretaría General de Gobierno,14501
2024-01,Ministerio de Minería,5293
2024-01,Presidencia de la República,4427
2024-01,Ministerio de Bienes Nacionales,3941
2024-01,Ministerio del Deporte,1997
2024-01,Ministerio de Relaciones Exteriores,1673
2024-01,Test,699
2024-01,Ministerio de la Mujer y la Equidad de Género,382
2024-01,Empresa Pública,11
2024-02,Ministerio de Hacienda,3276477
2024-02,Ministerio del Trabajo y Previsión Social,2867010
2024-02,Otros Poderes,2296919
2024-02,Ministerio de Salud,2162330
2024-02,Ministerio de Justicia y Derechos Humanos,1736580
2024-02,Empresa Privada,1712467
2024-02,Ministerio de Desarrollo Social y Familia,1302388
2024-02,"Ministerio de Economía, Fomento y Turismo",438189
2024-02,Ministerio del Interior y Seguridad Pública,311827
2024-02,Autónomo,223439
2024-02,Ministerio de Agricultura,189294
2024-02,Ministerio de Defensa Nacional,181445
2024-02,Municipalidad,173738
2024-02,Ministerio de Educación,129578
2024-02,Servicio,95557
2024-02,Ministerio de Transportes y Telecomunicaciones,94517
2024-02,Ministerio de Vivienda y Urbanismo,86507
2024-02,Ministerio Secretaría General de la Presidencia de la República,79961
2024-02,Contraloría,72187
2024-02,Ministerio del Medio Ambiente,41024
2024-02,"Ministerio de las Culturas, las Artes y el Patrimonio",32422
2024-02,Ministerio de Energía,23730
2024-02,Ministerio de Obras Públicas,18225
2024-02,Fuerzas Armadas,15773
2024-02,Ministerio Secretaría General de Gobierno,11905
2024-02,Ministerio de Minería,4316
2024-02,Presidencia de la República,3561
2024-02,Ministerio de Bienes Nacionales,3355
2024-02,Ministerio de Relaciones Exteriores,1733
2024-02,Ministerio del Deporte,1689
2024-02,Test,553
2024-02,Ministerio de la Mujer y la Equidad de Género,273
2024-02,Empresa Pública,29
2024-03,Ministerio de Hacienda,4331845
2024-03,Ministerio del Trabajo y Previsión Social,2852580
2024-03,Otros Poderes,2472324
2024-03,Ministerio de Salud,2464066
2024-03,Ministerio de Justicia y Derechos Humanos,2262654
2024-03,Empresa Privada,1894238
2024-03,Ministerio de Desarrollo Social y Familia,1786915
2024-03,"Ministerio de Economía, Fomento y Turismo",605861
2024-03,Autónomo,341601
2024-03,Ministerio de Educación,295608
2024-03,Ministerio del Interior y Seguridad Pública,260815
2024-03,Contraloría,218982
2024-03,Ministerio de Defensa Nacional,186701
2024-03,Ministerio de Agricultura,159875
2024-03,Ministerio de Vivienda y Urbanismo,148261
2024-03,Ministerio de Transportes y Telecomunicaciones,144485
2024-03,Servicio,142639
2024-03,Municipalidad,129005
2024-03,Ministerio Secretaría General de la Presidencia de la República,98309
2024-03,"Ministerio de las Culturas, las Artes y el Patrimonio",74598
2024-03,Ministerio del Medio Ambiente,56793
2024-03,Ministerio de Energía,28445
2024-03,Ministerio Secretaría General de Gobierno,24257
2024-03,Ministerio de Obras Públicas,20267
2024-03,Fuerzas Armadas,19302
2024-03,Ministerio de Minería,7878
2024-03,Presidencia de la República,4241
2024-03,Ministerio de Bienes Nacionales,4005
2024-03,Ministerio de Relaciones Exteriores,1827
2024-03,Ministerio del Deporte,1537
2024-03,Test,796
2024-03,Ministerio de la Mujer y la Equidad de Género,541
2024-03,Empresa Pública,3
2024-04,Ministerio de Hacienda,8592737
2024-04,Ministerio del Trabajo y Previsión Social,2775079
2024-04,Ministerio de Salud,2597432
2024-04,Otros Poderes,2594875
2024-04,Empresa Privada,1814674
2024-04,Ministerio de Justicia y Derechos Humanos,1812272
2024-04,Ministerio de Desarrollo Social y Familia,1664252
2024-04,"Ministerio de Economía, Fomento y Turismo",552027
2024-04,Autónomo,471466
2024-04,Ministerio del Interior y Seguridad Pública,279715
2024-04,Ministerio de Vivienda y Urbanismo,194273
2024-04,Ministerio de Defensa Nacional,182569
2024-04,Ministerio de Educación,163640
2024-04,Contraloría,134687
2024-04,Ministerio de Agricultura,134311
2024-04,Municipalidad,124358
2024-04,Servicio,123697
2024-04,Ministerio Secretaría General de la Presidencia de la República,122641
2024-04,Ministerio de Transportes y Telecomunicaciones,122573
2024-04,Ministerio del Medio Ambiente,70254
2024-04,"Ministerio de las Culturas, las Artes y el Patrimonio",54938
2024-04,Ministerio Secretaría General de Gobierno,41076
2024-04,Ministerio de Energía,29341
2024-04,Ministerio de Obras Públicas,24091
2024-04,Fuerzas Armadas,21519
2024-04,Ministerio de Minería,8366
2024-04,Presidencia de la República,6753
2024-04,Ministerio de Bienes Nacionales,4242
2024-04,Ministerio de Relaciones Exteriores,1657
2024-04,Ministerio del Deporte,1477
2024-04,Ministerio de la Mujer y la Equidad de Género,964
2024-04,Test,743
2024-04,Empresa Pública,3
2024-05,Ministerio de Hacienda,4687981
2024-05,Ministerio del Trabajo y Previsión Social,2961971
2024-05,Ministerio de Salud,2640114
2024-05,Otros Poderes,2550038
