item1,frequency
PJUD: PODER JUDICIAL,11104140
Registro Civil: SRCeI,5435553
undefinedSII: Servicio de Impuestos Internos,4956216
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,4298054
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",4257348
Mercado+Público: Dirección de Compras y Contratación Pública,3743932
undefinedCMF: Comisión para el Mercado Financiero,3572857
miChileAtiende: Instituto de Previsión Social,3411170
FONASA - Portal Beneficiario: Fondo Nacional de Salud,3223610
Portal MiDT: Dirección del Trabajo,2921113
Milicenciamedica.cl: Subsecretaría de Salud Pública,2630907
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,2516815
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,2378077
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1676760
Empleos Públicos: Servicio Civil,1049469
undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,997177
Autenticación TGR: Servicio de Tesorerías,948305
Subsidio Eléctrico: Subsecretaría de Evaluación Social,868385
ChileAtiende: Instituto de Previsión Social,825061
www.sii.cl: Servicio de Impuestos Internos,729895
Sistema de Apelación Contra de Isapres: Subsecretaría de Salud Pública,709614
Bolsa Nacional de Empleo: Subsecretaría del Trabajo,705789
ASDigital: Ministerio de salud,674102
Sernac - Portal del consumidor: Servicio Nacional del Consumidor,638087
Mi Fiscalía en Línea: Ministerio Público,572115
Acceso Clave Unica UFRO: Universidad de La Frontera,555490
APIs Receta Electrónica: Subsecretaría de Salud Pública,539841
e-certchile: E-Cert Chile,524334
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,447362
Bitácora Web: Ministerio Público,434887
Comisaría Virtual: Carabineros de Chile,430529
SignPass: BPO Advisors SpA,413563
Actas de mediación en línea: Subsecretaría de Justicia,412445
DocDigital Versión 3: Subsecretaría General de la Presidencia de la República,404811
Sistema Midas: Subsecretaría de Salud Pública,398146
Portal Servel: Servicio Electoral,380818
Protección Social: MDS,380633
ACEPTA: ACEPTA.COM S.A.,380020
IMG: MDS,376568
