item1,item2,item3,frequency
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,386290
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,280496
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,262780
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,260375
bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,24398
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,17657
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,17450
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,16996
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedSII: Servicio de Impuestos Internos,12743
ChileAtiende: Instituto de Previsión Social,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,12584
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",12406
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedCMF: Comisión para el Mercado Financiero,12253
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,10194
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,Registro Civil: SRCeI,9852
Milicenciamedica.cl: Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,9700
Milicenciamedica.cl: Subsecretaría de Salud Pública,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,9635
Milicenciamedica.cl: Subsecretaría de Salud Pública,undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,9421
Milicenciamedica.cl: Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",9116
Milicenciamedica.cl: Subsecretaría de Salud Pública,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,9023
Milicenciamedica.cl: Subsecretaría de Salud Pública,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,8991
Autenticacion Nube  Privada: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,7657
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,6699
Autenticación TGR: Servicio de Tesorerías,bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,5472
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,5417
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,4395
Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,3924
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,3291
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,2844
ChileAtiende: Instituto de Previsión Social,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,2510
Autenticacion Nube  Privada: Servicio de Impuestos Internos,bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,2415
Autenticacion Nube  Privada: Servicio de Impuestos Internos,bcm2.sii.cl: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,1958
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,1925
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,miChileAtiende: Instituto de Previsión Social,1924
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,1792
Autenticación TGR: Servicio de Tesorerías,bcm2.sii.cl: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,1787
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,1527
PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,1325
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,1115
PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,1088
Autenticación Sistemas DPP: Defensoría Penal Pública,Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,996
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,922
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,890
PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,872
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",860
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,miChileAtiende: Instituto de Previsión Social,834
ChileAtiende: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,831
ChileAtiende: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,758
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,749
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,698
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal MiDT: Dirección del Trabajo,Registro Civil: SRCeI,665
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,659
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,Postulación en línea DS1: Subsecretaría de Vivienda y Urbanismo,656
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Resultados Subsidio Eléctrico: Subsecretaría de Energía,Subsidio Eléctrico: Subsecretaría de Evaluación Social,651
PJUD: PODER JUDICIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,637
PJUD: PODER JUDICIAL,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,591
ChileAtiende: Instituto de Previsión Social,IPS - persona: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,583
Protección Social: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,569
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,566
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,512
Autenticación TGR: Servicio de Tesorerías,PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,474
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,www.sii.cl: Servicio de Impuestos Internos,419
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,418
Autenticacion Nube  Privada: Servicio de Impuestos Internos,Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,382
Autenticacion Nube  Privada: Servicio de Impuestos Internos,PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,371
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,370
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",364
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,350
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,333
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,MINVU: Subsecretaría de Vivienda y Urbanismo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,327
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,Registro Civil: SRCeI,306
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,300
