item1,item2,frequency
Ingreso de causas y escritos: Corporación Administrativa del Poder Judicial,PJUD: PODER JUDICIAL,288017
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,Subsidio Eléctrico: Subsecretaría de Evaluación Social,277363
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Civil: SRCeI,133599
ChileAtiende: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,129518
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,103947
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Registro Civil: SRCeI,102889
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedSII: Servicio de Impuestos Internos,94556
Autenticación TGR: Servicio de Tesorerías,undefinedSII: Servicio de Impuestos Internos,87401
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedSII: Servicio de Impuestos Internos,85870
undefinedCMF: Comisión para el Mercado Financiero,undefinedSII: Servicio de Impuestos Internos,83968
Mi Fiscalía en Línea: Ministerio Público,PJUD: PODER JUDICIAL,83904
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,miChileAtiende: Instituto de Previsión Social,73535
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Subsidio Eléctrico: Subsecretaría de Evaluación Social,73436
ChileAtiende: Instituto de Previsión Social,Registro Civil: SRCeI,73347
"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",undefinedCMF: Comisión para el Mercado Financiero,71643
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",62237
PJUD: PODER JUDICIAL,undefinedSII: Servicio de Impuestos Internos,61696
Mercado+Público: Dirección de Compras y Contratación Pública,Portal MiDT: Dirección del Trabajo,57479
Mercado+Público: Dirección de Compras y Contratación Pública,undefinedSII: Servicio de Impuestos Internos,56521
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,undefinedCMF: Comisión para el Mercado Financiero,56392
ChileAtiende: Instituto de Previsión Social,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,52274
PJUD: PODER JUDICIAL,Registro Civil: SRCeI,51700
undefinedSII: Servicio de Impuestos Internos,www.sii.cl: Servicio de Impuestos Internos,49882
Registro Civil: SRCeI,undefinedSII: Servicio de Impuestos Internos,47357
Mercado+Público: Dirección de Compras y Contratación Pública,Requisitos para Ofertar: Dirección de Compras y Contratación Pública,45856
Registro Civil: SRCeI,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,40665
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,miChileAtiende: Instituto de Previsión Social,40125
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,39878
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,undefinedSII: Servicio de Impuestos Internos,39417
IPS - persona: Instituto de Previsión Social,miChileAtiende: Instituto de Previsión Social,37997
ChileAtiende: Instituto de Previsión Social,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,34317
Afiliación e inscripción en atención primaria en línea: Fondo Nacional de Salud,FONASA - Portal Beneficiario: Fondo Nacional de Salud,33462
bcm2.sii.cl: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,32684
PJUD: PODER JUDICIAL,undefinedCMF: Comisión para el Mercado Financiero,32454
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,30817
PJUD: PODER JUDICIAL,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,29893
Portal MiDT: Dirección del Trabajo,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",28759
Portal MiDT: Dirección del Trabajo,undefinedSII: Servicio de Impuestos Internos,28302
PJUD: PODER JUDICIAL,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,26576
ChileAtiende: Instituto de Previsión Social,FONASA - Portal Beneficiario: Fondo Nacional de Salud,26341
Autenticación TGR: Servicio de Tesorerías,PJUD: PODER JUDICIAL,26018
Protección Social: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,25500
Portal MiDT: Dirección del Trabajo,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,24886
ChileAtiende: Instituto de Previsión Social,Subsidio Eléctrico: Subsecretaría de Evaluación Social,24527
Mercado+Público: Dirección de Compras y Contratación Pública,PJUD: PODER JUDICIAL,24017
Autenticacion Nube  Privada: Servicio de Impuestos Internos,undefinedSII: Servicio de Impuestos Internos,23562
PJUD: PODER JUDICIAL,undefinedSEEMT: Subsecretaría de Economía y Empresas de Menor Tamaño,22748
APIs Receta Electrónica: Subsecretaría de Salud Pública,Recetas en línea - Acceso Químico farmacéutico: Subsecretaría de Salud Pública,22568
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,22197
PJUD: PODER JUDICIAL,Portal MiDT: Dirección del Trabajo,20683
ChileCompra - Centro de Ayuda: Dirección de Compras y Contratación Pública,Mercado+Público: Dirección de Compras y Contratación Pública,19264
