grupo,nombre_app,institucion,sector,frecuencia,eventos_totales_grupo,tasa_por_1000_eventos
F,PJUD,PODER JUDICIAL,Otros Poderes,3850494,36183056,106.417
F,Registro Social de Hogares,MINISTERIO DE DESARROLLO SOCIAL,Ministerio de Desarrollo Social y Familia,2427433,36183056,67.088
F,Registro Civil,SRCeI,Ministerio de Justicia y Derechos Humanos,2418469,36183056,66.84
F,undefined,Servicio de Impuestos Internos,Ministerio de Hacienda,2408388,36183056,66.561
F,Mercado+Público,Dirección de Compras y Contratación Pública,Ministerio de Hacienda,2092747,36183056,57.838
F,Subsidio Eléctrico,Subsecretaría de Evaluación Social,Ministerio de Desarrollo Social y Familia,1657915,36183056,45.82
F,Portal MiDT,Dirección del Trabajo,Ministerio del Trabajo y Previsión Social,1598068,36183056,44.166
F,miChileAtiende,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social,1476326,36183056,40.802
F,FONASA - Portal Beneficiario,Fondo Nacional de Salud,Ministerio de Salud,1092611,36183056,30.197
F,Portal Ciudadano ClaveÚnica,Secretaría de Gobierno Digital,Ministerio de Hacienda,981610,36183056,27.129
