Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de transferencia gratuita sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe favorable de transferencia gratuita de la Subsecretaría de las Fuerzas Armadas del Ministerio de Defensa y/o de la Comandancia en Jefe de la Armada;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de subdivisión que cumple con normativa vigente.;;;;;;;
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización de concesión gratuita sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00019;Concesión de uso gratuito de corto plazo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Tesorerías;Documento (certificado) y/o expediente;Certificado de deuda de contribuciones de bienes raíces (TGR);;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de rol de avalúo fiscal;;;;;;;
PT-SUB00063-00020;Donación de bienes;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Hacienda;Documento (certificado) y/o expediente;No se encuentra certificado;Autoriza Donación;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Identificación de personal natural
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría para las Fuerzas Armadas;Documento (certificado) y/o expediente;No se encuentra certificado;Informe favorable de venta de la Subsecretaría de las Fuerzas Armadas del Ministerio de Defensa y/o de la Comandancia en Jefe de la Armada;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización venta sobre inmueble fiscal situado en Zona Fronteriza.;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Certificado de Avalúo fiscal detallado vigente del semestre.;;;;;;;
PT-SUB00063-00021;Venta directa de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Agrícola y Ganadero;Documento (certificado) y/o expediente;No se encuentra certificado;"Certificado de subdivisión que cumple con normativa vigente; informe del artículo 16 del DL 1939.";;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;"Cédula de Identidad; Certificado de nacimiento; Certificado de matrimonio; Certificado de defunción; Última dirección de titular del rol"
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Electoral;Dato o set de datos;;;Última dirección de titular del rol;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Evaluación Social;Registro Social de Hogares
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;"Certificado de rol de avalúo con indicación de superficie; Última dirección de titular del rol; Solicitud de pre rol";;;;;;;;;;;
PT-SUB00063-00022;Saneamiento de la pequeña propiedad raíz particular (ejecución directa e indirecta);No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización en el caso que el inmueble se encuentre en zona fronteriza;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Datos de identificación solicitante
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Documento (certificado) y/o expediente;No se encuentra certificado;Enrolamiento del inmueble;;;;;;;
PT-SUB00063-00023;Arriendo de inmueble fiscal;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección Nacional de Fronteras y Límites del Estado;Documento (certificado) y/o expediente;No se encuentra certificado;Autorización DIFROL;;;;;;;
