Código institución;Nombre institución;Código del registro;Nombre del registro;Tipo de registro;Estado registro;Descripción del registro;Área responsable;Cargo del o la responsable;Tipo de inicio;Acto de inicio;Acto de término;Producto institucional relacionado;Número Ley;URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile);Pago asociado;Tipo de usuario(a);Segmento de usuarios(as);Disponibilidad para su realización;Programa Social relacionado;Nivel de digitalización;Ingreso de solicitud;Canal digital - Canales transaccionales;Canal presencial - Canales transaccionales;Canal telefónico - Canales transaccionales;Módulos de autoatención - Canales transaccionales;Tipo de expediente;Acceso al expediente electrónico por parte de los(as) interesados(as);URL del inicio;Ficha ChileAtiende relacionada;URL de ficha ChileAtiende;Número de plataformas electrónicas que intervienen en el soporte electrónico;Alcance de las plataformas electrónicas que soportan el registro;Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización;Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización;Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización;Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización;Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización;No utiliza mecanismo de autenticación - Autenticación;Utiliza ClaveÚnica - Autenticación;Utiliza Clave Tributaria - Autenticación;Utiliza un mecanismo de autenticación propio - Autenticación;Mecanismo de autenticación digital para funcionarios;Firma electrónica Avanzada;Notificación(es) practicada(s);Tiene etapa Inicio;Tiene etapa Instrucción;Tiene etapa Finalización;Medio utilizado para notificar en la etapa de iniciación;Medio utilizado para notificar en la etapa de instrucción;Medio utilizado para notificar en la etapa de finalización;Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado;Documento(s) notarial(es);Nombre del documento notarial relacionado;Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado
PE-SER-00022;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;TR-SER00022-00023;Solicitud de Audiencia (Ley 20.730);Otra Tramitación;Completado;Solicitar audiencias en el marco de la Ley 20.730 (Ley del Lobby), con el objeto de promover, defender o representar cualquier interés particular, para influir en las decisiones que en el ejercicio de sus funciones deben adoptar los sujetos pasivos de esta Institución.;Comunicaciones;Jefatura OIRS;;;;Atención y/o información ciudadana;20730;https://www.bcn.cl/leychile/navegar?idNorma=1060115;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://www.leylobby.gob.cl/instituciones/AO003;No;;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;;;Sí;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;;Sí;Sólo por medios electrónicos.;;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SER-00022;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;TR-SER00022-00024;Acceder a la Oficina de Informaciones, Reclamos y Sugerencias;Otra Tramitación;Completado;La labor de la OIRS de CENABAST se rige por DS 680/1990 y la Ley Nº 19.880, que garantizan el derecho de acceso a la información y a la atención oportuna, sin discriminación de ninguna especie. También establece las bases de los procedimientos administrativos que regulan los actos de los órganos de la administración del Estado y su relación con los espacios de atención a los usuarios/as. De este modo la OIRS gestionará las solicitudes de información, reclamos, sugerencias, consulta y felicitaciones realizadas por las personas a la institución, excluyendo los otros órganos del Estado y Proveedores;Comunicaciones;Jefe OIRS;;;;Atención y/o información ciudadana;19880;https://www.bcn.cl/leychile/navegar?idNorma=210676&idVersion=Diferido;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://aplicacionesweb.cenabast.cl/Sistemas/oirs/InformacionSolicitudCiudadano.asp;No;;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;;;Sí;;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;;Sí;Sólo por medios electrónicos.;;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SER-00022;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;TR-SER00022-00025;Solicitud de Acceso a la Información Pública (Ley 20.285);Otra Tramitación;Completado;Permite solicitar información en el marco de la Ley Nº20.285, que regula el principio de transparencia en la función pública y  el derecho de acceso a la información de los órganos de la Administración del Estado.;Comunicaciones;Jefatura OIRS;;;;Atención y/o información ciudadana;20285;https://www.bcn.cl/leychile/navegar?idNorma=276363;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1050;No;;3;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;;;Sí;Sí;;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;Sí, realiza envíos por medios electrónicos propios y deja trazabilidad en la plataforma Doc Digital
PE-SUP-00604;Superintendencia de Educación Superior;TR-SUP00604-00031;Solicitud de Audiencia (Ley 20.730);Otra Tramitación;Completado;Solicitar audiencias en el marco de la Ley 20.730 (Ley del Lobby), con el objeto de promover, defender o representar cualquier interés particular, para influir en las decisiones que en el ejercicio de sus funciones deben adoptar los sujetos pasivos de esta Institución.;Gabinete;Jefe de Gabinete;;;;Registros;20730;https://bcn.cl/2ern5;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://www.leylobby.gob.cl/admin/auth/prelogin-funcionarios;No;;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;;;Sí;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SUP-00604;Superintendencia de Educación Superior;TR-SUP00604-00032;Solicitud de Acceso a la Información Pública (Ley 20.285);Otra Tramitación;Completado;Es el ejercicio del derecho que toda persona tiene a solicitar y recibir información de cualquier órgano de la Administración del Estado, en la forma y condiciones que establece esta ley, tales como actos, resoluciones, actas, expedientes, contratos y acuerdos, así como a toda información elaborada con presupuesto público, salvo las excepciones legales.;Fiscalía - jurídica;Abogado/a Fiscalía;;;;Atención y/o información ciudadana;20285;https://bcn.cl/25bya;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=330150;No;;2;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;;Sí;Sí;;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;;;Sí;;;Solo por medios eléctronicos;No;No;;Sí, realiza envíos por medios electrónicos propios y deja trazabilidad en la plataforma Doc Digital
PE-SUP-00604;Superintendencia de Educación Superior;PT-SUP00604-00023;Gestión de Reclamos a las Instituciones de Educación Superior;Procedimiento administrativo de función específica;Completado;Procedimiento frente a una petición formal de una persona o grupo de personas a la Superintendencia para que ésta intervenga como mediador en la controversia existente entre el reclamante y alguna de las instituciones de educación superior fiscalizadas.;Atención de usuarios - clientes;Profesional de la unidad de reclamos, denuncias y atención de público.;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Presentación del reclamo a través del Módulo de Reclamos y Denuncias de la Superintendencia de Educación Superior;Resolución de cierre del reclamo;Atención y/o información ciudadana;21091;https://bcn.cl/2ewsw;No;Persona natural: Todo individuo de la especie humana, cualquiera sea su sexo, edad, raza o condición social;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;;;;Expediente con documentos en formato electrónico;Sí, los(as) interesados(as) tienen acceso al expediente electrónico;https://srd.sesuperior.cl/sgrd/login.html;No;;2;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;Sí;;;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios eléctronicos;Solo por medios eléctronicos;No;No;;No considera comunicaciones oficiales
PE-SUB-00063;Subsecretaría de Bienes Nacionales;TR-SUB00063-00042;Solicitud de Audiencia (Ley 20.730);Otra Tramitación;Completado;Solicitar audiencias en el marco de la Ley 20.730 (Ley del Lobby), con el objeto de promover, defender o representar cualquier interés particular, para influir en las decisiones que en el ejercicio de sus funciones deben adoptar los sujetos pasivos de esta Institución.;Atención de usuarios - clientes;Administrador/a institucional plataforma Ley del Lobby;;;;Atención y/o información ciudadana;20730;https://www.bcn.cl/leychile/navegar?idNorma=1060115;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 5;El ingreso de solicitudes se realiza por medios electrónicos;Sí;Sí;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://www.leylobby.gob.cl/admin/auth/prelogin?redirect_int;No;;1;Las plataformas electrónicas soportan todas las etapas de tramitación de este registro;;;;;Sí;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;Sí;;Ambos medios;Ambos medios;;No;No;;No considera comunicaciones oficiales
PE-SUB-00063;Subsecretaría de Bienes Nacionales;PT-SUB00063-00016;Registro de goce singular sin título individual inscrito en comunidad agrícola regulada por el D.F.L. N°5 DE 1968;Procedimiento administrativo de función específica;Completado;El goce singular sin título individual inscrito, es el terreno de propiedad de la comunidad agrícola que se asigna a un comunero y su familia, para la explotación y cultivo. Es el espacio comunitario en que la familia establece su habitación y generalmente, realiza sus principales actividades económicas. De acuerdo a lo establecido en el artículo 18, letra c) del D.F.L. N°5, corresponde a la junta general de comuneros realizar su asignación. La misma norma señala que una nómina de estos goces se archivará en la Secretaría Regional Ministerial de Bienes Nacionales respectiva.;Bienes y servicios;Jefatura de la División Constitución Propiedad Raíz;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Formulario Solicitud Registro de Goce Singular;Certificado de registro e incorporación de la comunidad agrícola respectiva;Registros;5;https://www.bcn.cl/leychile/navegar?idNorma=3656;No;Persona natural: Todo individuo de la especie humana, cualquiera sea su sexo, edad, raza o condición social;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://tramites.mbienes.gob.cl/;No;;3;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;Sí;;;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;Utiliza firma electrónica avanzada del Estado (FirmaGob);Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;No;Sí;Declaración jurada;No considera comunicaciones oficiales
PE-SUB-00063;Subsecretaría de Bienes Nacionales;PT-SUB00063-00017;Postulación al Registro Nacional de Contratistas;Procedimiento administrativo de función específica;Completado;Le corresponde al MBN el saneamiento del dominio de los títulos de aquellas personas que siendo poseedores materiales, carezcan de ellos o los tengan imperfectos, conforme a lo dispuesto en el D.L. N° 2.695, de 1979. Para la ejecución de los trabajos topográficos y jurídicos que la aplicación de dicho cuerpo normativo en favor de los solicitantes de saneamiento da lugar, estos podrán ser requeridos por los interesados en sanear sus títulos directamente a este Ministerio, especialmente a fin de obtener algún subsidio para su financiamiento, o a algunas de las empresas que conforman el Registro Nacional de Contratistas, las que se encuentran autorizadas para efectuar las mismas labores, previo contrato de prestación de servicios con el particular interesado en regularizar sus títulos.;Bienes y servicios;Jefatura de la División Constitución Propiedad Raíz;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Formulario Solicitud de postulación al Registro Nacional de Contratistas;Resolución que incorpora al Registro Nacional de Contratistas;Acreditación;127;https://www.bcn.cl/leychile/navegar?idNorma=236193;No;Ambos tipos de personas: Persona natural y jurídica;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato físico y electrónico (mixto);No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://tramites.mbienes.gob.cl;No;;2;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;Sí;;;;Sí;;;Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios;No utiliza firma electrónica avanzada;Sí;Sí;Sí;Sí;Ambos medios;Ambos medios;Ambos medios;No;No;;No considera comunicaciones oficiales
PE-SUB-00063;Subsecretaría de Bienes Nacionales;PT-SUB00063-00018;Transferencia gratuita de inmueble fiscal;Procedimiento administrativo de función específica;Completado;Permite la enajenación de un bien raíz fiscal, de manera gratuita, a entidades que se encuentran determinadas en la ley. La transferencia se otorga excepcionalmente y sólo por motivos justificados, que deben quedar expresamente establecidos en el decreto que a tal efecto se dicte.  Siendo esta una facultad correspondiente al Presidente de la República, quien la ejerce por intermedio del Ministerio de Bienes Nacionales. Estas transferencias se otorgan con la prohibición de enajenar el inmueble antes de los cinco años contados desde la respectiva inscripción de dominio por parte de la entidad beneficiaria, salvo autorización del Ministerio. Si dentro del plazo señalado la adquirente no utilizare el inmueble para sus fines propios, se recupera el dominio del inmueble para el Fisco, mediante un procedimiento especial contemplado en la normativa que regula esta materia. ;Bienes y servicios;Jefatura de la División de Bienes Nacionales;Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.;Formulario Solicitud de Propiedad Fiscal;"Decreto aprobatorio de contrato de transferencia gratuita; Decreto que rechaza transferencia gratuita";Bienes fiscales;1939;https://www.leychile.cl/Navegar?idNorma=6778&r=5;No;Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente;No aplica;Se puede realizar durante todo el año;;Nivel 3;El ingreso de solicitudes se realiza por medios electrónicos;;Sí;;;Expediente con documentos en formato electrónico;No, los(as) interesados(as) no tienen acceso al expediente electrónico;https://tramites.mbienes.gob.cl/;Sí;https://www.chileatiende.gob.cl/fichas/56397-transferencia-gratuita-de-un-inmueble-fiscal;4;Las plataformas electrónicas soportan parcialmente las etapas de tramitación de este registro;;;Sí;Sí;Sí;;Sí;;;Utiliza un mecanismo propio de autenticación digital para funcionarios;Utiliza ambos tipos de firma (FirmaGob y provista por un externo);Sí;Sí;Sí;Sí;Sólo por medios electrónicos.;Solo por medios físicos;Solo por medios físicos;Sí;Sí;Escritura pública;Sí, realiza envíos por medios electrónicos propios y deja trazabilidad en la plataforma Doc Digital
