institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Evaluación Social,2426270,4,2.79,artefacto_vus
Instituto de Previsión Social,Subsecretaría de Evaluación Social,2274744,8,2.3,artefacto_vus
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Fondo Nacional de Salud,2112673,7,3.46,candidato_sin_verificar
Fondo Nacional de Salud,Carabineros de Chile,1716462,6,1.96,candidato_sin_verificar
Poder Judicial,Subsecretaría de Evaluación Social,1578739,9,3.65,artefacto_vus
Instituto de Previsión Social,Fondo Nacional de Salud,1377580,4,1.48,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Subsecretaría de Vivienda y Urbanismo,1220372,7,3.49,ya_explicado_rsh
Servicio de Registro Civil e Identificación,Servicio de Impuestos Internos,1210250,2,1.27,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Subsecretaría de Vivienda y Urbanismo,1137145,2,1.23,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,E-Sign S.A.,1103042,1,1.21,efecto_base_lift_bajo
ACEPTA.COM S.A.,Servicio de Impuestos Internos,1067780,6,2.38,confirmado_acepta
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría del Trabajo,1026834,4,2.13,confirmado_afc_bne
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Evaluación Social,943145,8,3.64,artefacto_vus
Ministerio de Desarrollo Social y Familia,Servicio Nacional del Consumidor,935118,4,1.47,efecto_base_lift_bajo
Fondo Nacional de Salud,Servicio Electoral,906252,2,1.25,efecto_base_lift_bajo
Servicio de Impuestos Internos,Subsecretaría de Evaluación Social,851146,10,3.16,artefacto_vus
Ministerio de Desarrollo Social y Familia,Servicio de Impuestos Internos,849691,6,1.66,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Ministerio Público,783886,1,1.24,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Carabineros de Chile,769605,4,2.0,candidato_sin_verificar
Poder Judicial,Carabineros de Chile,704940,8,2.09,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Superintendencia de Seguridad Social,670417,2,1.27,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Subsecretaría de Evaluación Social,636762,4,2.02,artefacto_vus
Servicio de Impuestos Internos,Fondo Nacional de Salud,623860,12,2.17,candidato_sin_verificar
Fondo Nacional de Salud,Ministerio Público,535966,2,1.31,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Carabineros de Chile,533122,2,1.36,efecto_base_lift_bajo
Fondo Nacional de Salud,Subsecretaría de Redes Asistenciales,529347,8,2.74,candidato_sin_verificar
ACEPTA.COM S.A.,Secretaría de Gobierno Digital,517591,7,2.21,confirmado_acepta
Servicio de Impuestos Internos,Carabineros de Chile,514479,8,4.26,candidato_sin_verificar
ACEPTA.COM S.A.,Sociedad Administradora de Fondos de Cesantía de Chile S.A.,513222,2,1.68,confirmado_acepta
Instituto de Previsión Social,Carabineros de Chile,492587,4,1.64,candidato_sin_verificar
Fondo Nacional de Salud,Superintendencia de Seguridad Social,489226,4,3.33,candidato_sin_verificar
ACEPTA.COM S.A.,Comisión para el Mercado Financiero,466987,2,1.78,confirmado_acepta
Servicio de Impuestos Internos,Subsecretaría de Redes Asistenciales,456797,6,1.81,candidato_sin_verificar
ACEPTA.COM S.A.,Fondo Nacional de Salud,442702,1,1.39,confirmado_acepta
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Subsecretaría de Evaluación Social,435735,14,3.84,artefacto_vus
Subsecretaría de Vivienda y Urbanismo,Fondo Nacional de Salud,425785,11,2.12,candidato_sin_verificar
ACEPTA.COM S.A.,Poder Judicial,412779,3,1.79,confirmado_acepta
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Redes Asistenciales,408076,3,1.56,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría de Educación,402026,8,1.42,efecto_base_lift_bajo
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Servicio Agrícola y Ganadero,397591,1,1.22,efecto_base_lift_bajo
Fondo Nacional de Salud,Subsecretaría de Evaluación Social,390104,5,1.69,artefacto_vus
Dirección Nacional del Servicio Civil,Subsecretaría de Evaluación Social,390015,9,17.09,artefacto_vus
Instituto de Previsión Social,Servicio Electoral,389180,1,1.24,efecto_base_lift_bajo
Instituto de Previsión Social,Subsecretaría de Redes Asistenciales,385019,8,3.35,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de Redes Asistenciales,382375,8,2.7,candidato_sin_verificar
Secretaría de Gobierno Digital,Subsecretaría de Evaluación Social,369830,4,19.47,artefacto_vus
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Fondo Nacional de Salud,367557,18,10.49,candidato_sin_verificar
Poder Judicial,Fondo Nacional de Salud,366962,9,1.75,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Fondo Nacional de Salud,357572,13,8.1,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Superintendencia de Seguridad Social,352155,6,3.94,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional de Capacitación y Empleo,330121,2,1.88,confirmado_acepta
ACEPTA.COM S.A.,Dirección del Trabajo,320507,2,1.99,confirmado_acepta
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Transportes,317648,4,1.6,candidato_sin_verificar
Instituto de Previsión Social,Servicio de Impuestos Internos,312572,3,2.45,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría de Desarrollo Regional y Administrativo,309192,2,1.24,efecto_base_lift_bajo
Fondo Nacional de Salud,Subsecretaría de Vivienda y Urbanismo,307129,3,1.84,candidato_sin_verificar
Instituto de Previsión Social,Ministerio Público,305921,3,1.38,efecto_base_lift_bajo
Comisión para el Mercado Financiero,Subsecretaría de Evaluación Social,304501,3,1.63,artefacto_vus
Servicio Agrícola y Ganadero,Sociedad Administradora de Fondos de Cesantía de Chile S.A.,295617,1,1.21,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Ministerio de Educación,290263,2,1.39,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Servicio de Cooperación Técnica,285614,2,2.42,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Fondo Nacional de Salud,281558,6,3.88,candidato_sin_verificar
ACEPTA.COM S.A.,Subsecretaría de Salud Pública,279120,9,2.71,confirmado_acepta
Servicio de Impuestos Internos,Superintendencia de Pensiones,266302,3,1.97,candidato_sin_verificar
Servicio de Impuestos Internos,Contraloría General de la República,265890,6,2.49,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Subsecretaría de Evaluación Social,258628,12,5.16,artefacto_vus
Poder Judicial,Subsecretaría de Justicia,258376,5,4.3,candidato_sin_verificar
ACEPTA.COM S.A.,E-Cert Chile,255160,1,1.9,confirmado_acepta
Servicio de Registro Civil e Identificación,Contraloría General de la República,251478,3,1.27,efecto_base_lift_bajo
Subsecretaría de Evaluación Social,Fondo Nacional de Salud,237247,6,2.24,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Educación,235239,6,1.68,candidato_sin_verificar
Secretaría de Gobierno Digital,Fondo Nacional de Salud,232728,9,1.74,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Subsecretaría de Justicia,231383,4,1.62,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Servicios Sociales,225588,3,6.5,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Secretaría de Gobierno Digital,223551,6,1.34,efecto_base_lift_bajo
Subsecretaría de Salud Pública,Superintendencia de Seguridad Social,208831,4,10.4,confirmado_milicencia_suseso
Servicio de Registro Civil e Identificación,Subsecretaría de Salud Pública,206381,4,1.27,efecto_base_lift_bajo
Poder Judicial,Subsecretaría de Redes Asistenciales,205156,2,1.47,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Carabineros de Chile,204780,3,1.64,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de Salud Pública,200633,3,1.72,candidato_sin_verificar
ACEPTA.COM S.A.,Superintendencia de Seguridad Social,200238,4,2.02,confirmado_acepta
Servicio de Registro Civil e Identificación,Instituto de Seguridad Laboral,199319,1,1.26,efecto_base_lift_bajo
Ministerio de Desarrollo Social y Familia,Subsecretaría de Desarrollo Regional y Administrativo,199269,2,1.41,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Universidad de La Frontera,199012,1,1.42,efecto_base_lift_bajo
Servicio Nacional de Capacitación y Empleo,Subsecretaría de Evaluación Social,198553,7,5.34,artefacto_vus
ACEPTA.COM S.A.,Carabineros de Chile,198479,2,1.99,confirmado_acepta
Ministerio de Desarrollo Social y Familia,Subsecretaría de Educación,197121,5,2.14,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Carabineros de Chile,194601,7,3.87,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Justicia,193650,5,1.98,candidato_sin_verificar
Comisión para el Mercado Financiero,Subsecretaría de Redes Asistenciales,190901,1,1.44,efecto_base_lift_bajo
Servicio de Impuestos Internos,Subsecretaría de Transportes,188490,11,2.37,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Desarrollo Regional y Administrativo,187092,2,1.41,efecto_base_lift_bajo
ACEPTA.COM S.A.,Instituto de Previsión Social,185239,1,1.33,confirmado_acepta
Fondo Nacional de Salud,Contraloría General de la República,181414,6,2.58,candidato_sin_verificar
Fondo Nacional de Salud,Subsecretaría de Salud Pública,180245,5,2.36,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Electoral,179452,2,1.48,confirmado_acepta
Subsecretaría de Redes Asistenciales,Servicio Nacional del Consumidor,178815,2,2.44,candidato_sin_verificar
ACEPTA.COM S.A.,Servicio Nacional del Consumidor,178560,2,1.87,confirmado_acepta
Subsecretaría de Redes Asistenciales,Servicio Electoral,173976,1,1.63,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Subsecretaría de Servicios Sociales,172166,2,4.81,candidato_sin_verificar
Subsecretaría de Redes Asistenciales,Fondo Nacional de Salud,171831,9,16.38,candidato_sin_verificar
Servicio Agrícola y Ganadero,Servicio Nacional del Consumidor,171329,2,2.39,candidato_sin_verificar
Fondo Nacional de Salud,Superintendencia de Pensiones,169614,2,2.05,candidato_sin_verificar
Secretaría de Gobierno Digital,Carabineros de Chile,169102,5,1.46,efecto_base_lift_bajo
Instituto de Previsión Social,Subsecretaría de Educación,166000,5,2.44,candidato_sin_verificar
