proveedora,dueña,trimestre,soporte,proveedora_antes,dueña_antes,mismo_dia,frac_proveedora_antes
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2024-01-01,342,232,102,8,0.6946107784431138
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2024-04-01,449,381,62,6,0.8600451467268623
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2024-07-01,550,498,48,4,0.9120879120879121
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2024-10-01,728,662,63,3,0.9131034482758621
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2025-01-01,396,375,19,2,0.9517766497461929
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2025-04-01,532,511,21,0,0.9605263157894737
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2025-07-01,497,478,18,1,0.9637096774193549
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,DIRECCION DE CONTABILIDAD Y FINANZAS,2025-10-01,835,824,9,2,0.9891956782713085
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2024-01-01,2168,767,1256,145,0.3791398912506179
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2024-04-01,955,511,369,75,0.5806818181818182
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2024-07-01,860,567,256,37,0.6889428918590522
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2024-10-01,1458,975,437,46,0.6905099150141643
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2025-01-01,1378,1030,307,41,0.7703814510097232
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2025-04-01,1070,864,154,52,0.8487229862475442
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2025-07-01,858,736,86,36,0.8953771289537713
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,2025-10-01,1086,984,77,25,0.9274269557021678
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2024-01-01,5893,2096,3216,581,0.39457831325301207
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2024-04-01,2652,1756,780,116,0.692429022082019
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2024-07-01,1777,1324,399,54,0.7684271619268718
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2024-10-01,1272,1096,149,27,0.8803212851405623
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2025-01-01,1052,946,92,14,0.9113680154142582
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2025-04-01,1120,1064,51,5,0.9542600896860987
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2025-07-01,984,946,32,6,0.967280163599182
GENDARMERIA DE CHILE,DIRECCION DE PREVISION DE CARABINEROS DE CHILE,2025-10-01,810,802,6,2,0.9925742574257426
