proveedora,dueña,n_procedimientos_cpat,soporte,marginal_proveedora,marginal_dueña,lift,frac_direccion_esperada,proveedora_antes,dueña_antes,mismo_dia
Servicio de Impuestos Internos,Servicio de Registro Civil e Identificación,1,5696691,7051586,9820357,1.1583693142453428,0.43146535356135607,2426965,3197971,71755
Servicio de Registro Civil e Identificación,Servicio de Impuestos Internos,1,5696691,9820357,7051586,1.1583693142453428,0.5685346464386439,3197971,2426965,71755
Servicio de Registro Civil e Identificación,Subsecretaría de Evaluación Social,5,4263446,9820357,6125255,0.9980396179485858,0.7623854257356165,3228639,1006278,28529
Servicio de Registro Civil e Identificación,Instituto de Previsión Social,1,3814638,9820357,4931820,1.1090657696592765,0.5962062549148978,2091011,1416183,307444
Servicio de Registro Civil e Identificación,Comisión para el Mercado Financiero,29,3691750,9820357,4329895,1.2225485272932355,0.6442681383565484,2349039,1297019,45692
Servicio de Impuestos Internos,Comisión para el Mercado Financiero,1,3425075,7051586,4329895,1.5795900093947834,0.6240676193857688,1755896,1057735,611444
Servicio de Registro Civil e Identificación,Servicio Nacional de Capacitación y Empleo,5,2778480,9820357,3266962,1.2194791521634478,0.6479794185113906,1789528,972177,16775
Servicio de Registro Civil e Identificación,Dirección del Trabajo,1,2727933,9820357,3044807,1.2846508786111774,0.687236719325286,1844164,839284,44485
Fondo Nacional de Salud,Servicio Nacional de Capacitación y Empleo,1,2298936,6335323,3266962,1.5640567267704504,0.5847331905346009,1333815,947251,17870
Servicio de Impuestos Internos,Servicio Nacional de Capacitación y Empleo,1,2198571,7051586,3266962,1.343841564281429,0.5873663321161614,1282179,900750,15642
Servicio de Registro Civil e Identificación,Carabineros de Chile,11,2159283,9820357,2539510,1.2191884125266736,0.7543792840822544,1604610,522450,32223
Servicio de Registro Civil e Identificación,Subsecretaría de Salud Pública,18,1943395,9820357,2300001,1.2115580967550128,0.6530687021948591,1256561,667526,19308
Servicio de Registro Civil e Identificación,Servicio de Tesorerías,5,1661910,9820357,1972259,1.2082442655783814,0.6302140989564051,1036694,608293,16923
Servicio de Impuestos Internos,Subsecretaría de Salud Pública,8,1619376,7051586,2300001,1.4059547098202263,0.634347246397103,996753,574552,48071
Servicio de Impuestos Internos,Servicio de Tesorerías,1,1617794,7051586,1972259,1.6379888121368906,0.6796594794595623,1006993,474621,136180
Dirección del Trabajo,Subsecretaría de Evaluación Social,1,1418609,3044807,6125255,1.0710684632114869,0.7068594546466017,998709,414173,5727
Dirección del Trabajo,Servicio Nacional de Capacitación y Empleo,1,1301179,3044807,3266962,1.8419237902598156,0.4494472186045936,580813,711470,8896
Subsecretaría de Transportes,Servicio de Registro Civil e Identificación,2,1262411,1447843,9820357,1.250231645561863,0.23669345049766985,297371,958984,6056
Servicio de Registro Civil e Identificación,Subsecretaría de Transportes,38,1262411,9820357,1447843,1.250231645561863,0.7633065495023301,958984,297371,6056
Carabineros de Chile,Comisión para el Mercado Financiero,5,1155115,2539510,4329895,1.4792323481068461,0.37182124060870564,427001,721403,6711
Servicio de Registro Civil e Identificación,Subsecretaría de Educación,1,1088936,9820357,1287858,1.2123989839901905,0.7190521695319225,773529,302233,13174
Servicio de Registro Civil e Identificación,Servicio Agrícola y Ganadero,3,1063212,9820357,1248989,1.2205974104755426,0.6175320896993267,654823,405564,2825
Servicio de Impuestos Internos,Subsecretaría de Transportes,2,1038502,7051586,1447843,1.432311648036289,0.7279527996253325,753857,281728,2917
Servicio de Registro Civil e Identificación,Subsecretaría de Vivienda y Urbanismo,2,1004833,9820357,1194254,1.2064473475994282,0.696560092983481,693987,302319,8527
Servicio de Impuestos Internos,Servicio Agrícola y Ganadero,12,887388,7051586,1248989,1.4187523545148806,0.5793437969629807,513108,372563,1717
Dirección del Trabajo,Subsecretaría de Salud Pública,1,875452,3044807,2300001,1.7602850846851923,0.47124469553952786,408883,458783,7786
Servicio de Registro Civil e Identificación,Subsecretaría de Economía y Empresas de Menor Tamaño,6,863081,9820357,996716,1.241627475270487,0.642354005935412,549345,305861,7875
Fondo Nacional de Salud,Subsecretaría de Educación,1,834987,6335323,1287858,1.441057918371607,0.6343611216850653,524937,302568,7482
Servicio de Impuestos Internos,Subsecretaría de Vivienda y Urbanismo,1,828572,7051586,1194254,1.3854319719862158,0.6717489172729327,549850,268685,10037
Servicio de Impuestos Internos,Subsecretaría de Economía y Empresas de Menor Tamaño,3,789677,7051586,996716,1.582084648099645,0.612502805040806,466740,295281,27656
Subsecretaría de Economía y Empresas de Menor Tamaño,Servicio de Impuestos Internos,1,789677,996716,7051586,1.582084648099645,0.38749719495919405,295281,466740,27656
Poder Judicial,Servicio de Tesorerías,1,752527,3246394,1972259,1.6549900122680035,0.5524277912126728,406620,329440,16467
Servicio de Impuestos Internos,Subsecretaría de Energía,1,741566,7051586,1517217,0.9760088748116377,0.6641949996690938,491764,248627,1175
Dirección del Trabajo,Subsecretaría del Trabajo,1,718248,3044807,1252817,2.65134035566929,0.5983958610121118,425630,285655,6963
Dirección del Trabajo,Servicio de Tesorerías,1,682779,3044807,1972259,1.6010131660350533,0.5262076099266115,354063,318795,9921
