grupo,mes,marginal,n_total
AFC,2024-01-01 00:00:00,713956,14081161
AFC,2024-02-01 00:00:00,722018,14081161
AFC,2024-03-01 00:00:00,754426,14081161
AFC,2024-04-01 00:00:00,688906,14081161
AFC,2024-05-01 00:00:00,698369,14081161
AFC,2024-06-01 00:00:00,751522,14081161
AFC,2024-07-01 00:00:00,728620,14081161
AFC,2024-08-01 00:00:00,656695,14081161
AFC,2024-09-01 00:00:00,663785,14081161
AFC,2024-10-01 00:00:00,746834,14081161
AFC,2024-11-01 00:00:00,686073,14081161
AFC,2024-12-01 00:00:00,663292,14081161
AFC,2025-01-01 00:00:00,776056,14081161
AFC,2025-02-01 00:00:00,795539,14081161
AFC,2025-03-01 00:00:00,837022,14081161
AFC,2025-04-01 00:00:00,759420,14081161
AFC,2025-05-01 00:00:00,746155,14081161
AFC,2025-06-01 00:00:00,816088,14081161
AFC,2025-07-01 00:00:00,761025,14081161
AFC,2025-08-01 00:00:00,763278,14081161
AFC,2025-09-01 00:00:00,586945,14081161
AFC,2025-10-01 00:00:00,617163,14081161
AFC,2025-11-01 00:00:00,510396,14081161
AFC,2025-12-01 00:00:00,529210,14081161
Comisión para el Mercado Financiero,2024-01-01 00:00:00,376086,14081161
Comisión para el Mercado Financiero,2024-02-01 00:00:00,495924,14081161
Comisión para el Mercado Financiero,2024-03-01 00:00:00,506872,14081161
Comisión para el Mercado Financiero,2024-04-01 00:00:00,509364,14081161
Comisión para el Mercado Financiero,2024-05-01 00:00:00,574521,14081161
Comisión para el Mercado Financiero,2024-06-01 00:00:00,571089,14081161
Comisión para el Mercado Financiero,2024-07-01 00:00:00,675319,14081161
Comisión para el Mercado Financiero,2024-08-01 00:00:00,645509,14081161
Comisión para el Mercado Financiero,2024-09-01 00:00:00,710208,14081161
Comisión para el Mercado Financiero,2024-10-01 00:00:00,723635,14081161
Comisión para el Mercado Financiero,2024-11-01 00:00:00,703050,14081161
Comisión para el Mercado Financiero,2024-12-01 00:00:00,631228,14081161
Comisión para el Mercado Financiero,2025-01-01 00:00:00,692167,14081161
Comisión para el Mercado Financiero,2025-02-01 00:00:00,660104,14081161
Comisión para el Mercado Financiero,2025-03-01 00:00:00,733095,14081161
Comisión para el Mercado Financiero,2025-04-01 00:00:00,725196,14081161
Comisión para el Mercado Financiero,2025-05-01 00:00:00,711781,14081161
Comisión para el Mercado Financiero,2025-06-01 00:00:00,753357,14081161
Comisión para el Mercado Financiero,2025-07-01 00:00:00,817293,14081161
Comisión para el Mercado Financiero,2025-08-01 00:00:00,834369,14081161
Comisión para el Mercado Financiero,2025-09-01 00:00:00,747087,14081161
Comisión para el Mercado Financiero,2025-10-01 00:00:00,823056,14081161
Comisión para el Mercado Financiero,2025-11-01 00:00:00,786399,14081161
Comisión para el Mercado Financiero,2025-12-01 00:00:00,611680,14081161
FUAS-Mineduc (servicio),2024-01-01 00:00:00,26705,14081161
FUAS-Mineduc (servicio),2024-02-01 00:00:00,65353,14081161
FUAS-Mineduc (servicio),2024-03-01 00:00:00,76028,14081161
FUAS-Mineduc (servicio),2024-04-01 00:00:00,21692,14081161
FUAS-Mineduc (servicio),2024-05-01 00:00:00,17736,14081161
FUAS-Mineduc (servicio),2024-06-01 00:00:00,12989,14081161
FUAS-Mineduc (servicio),2024-07-01 00:00:00,10238,14081161
FUAS-Mineduc (servicio),2024-08-01 00:00:00,13703,14081161
FUAS-Mineduc (servicio),2024-09-01 00:00:00,14787,14081161
FUAS-Mineduc (servicio),2024-10-01 00:00:00,227832,14081161
FUAS-Mineduc (servicio),2024-11-01 00:00:00,37894,14081161
FUAS-Mineduc (servicio),2024-12-01 00:00:00,40966,14081161
FUAS-Mineduc (servicio),2025-01-01 00:00:00,40972,14081161
FUAS-Mineduc (servicio),2025-02-01 00:00:00,81618,14081161
FUAS-Mineduc (servicio),2025-03-01 00:00:00,100265,14081161
FUAS-Mineduc (servicio),2025-04-01 00:00:00,15828,14081161
FUAS-Mineduc (servicio),2025-05-01 00:00:00,22393,14081161
FUAS-Mineduc (servicio),2025-06-01 00:00:00,16214,14081161
FUAS-Mineduc (servicio),2025-07-01 00:00:00,14303,14081161
FUAS-Mineduc (servicio),2025-08-01 00:00:00,15961,14081161
FUAS-Mineduc (servicio),2025-09-01 00:00:00,16133,14081161
FUAS-Mineduc (servicio),2025-10-01 00:00:00,238783,14081161
