grupo_a,grupo_b,mes,co_uso
AFC,Comisión para el Mercado Financiero,2024-01-01 00:00:00,105833
AFC,Comisión para el Mercado Financiero,2024-02-01 00:00:00,115871
AFC,Comisión para el Mercado Financiero,2024-03-01 00:00:00,111836
AFC,Comisión para el Mercado Financiero,2024-04-01 00:00:00,109588
AFC,Comisión para el Mercado Financiero,2024-05-01 00:00:00,168682
AFC,Comisión para el Mercado Financiero,2024-06-01 00:00:00,173860
AFC,Comisión para el Mercado Financiero,2024-07-01 00:00:00,182488
AFC,Comisión para el Mercado Financiero,2024-08-01 00:00:00,156647
AFC,Comisión para el Mercado Financiero,2024-09-01 00:00:00,234675
AFC,Comisión para el Mercado Financiero,2024-10-01 00:00:00,234804
AFC,Comisión para el Mercado Financiero,2024-11-01 00:00:00,234551
AFC,Comisión para el Mercado Financiero,2024-12-01 00:00:00,204054
AFC,Comisión para el Mercado Financiero,2025-01-01 00:00:00,208157
AFC,Comisión para el Mercado Financiero,2025-02-01 00:00:00,185481
AFC,Comisión para el Mercado Financiero,2025-03-01 00:00:00,193923
AFC,Comisión para el Mercado Financiero,2025-04-01 00:00:00,178591
AFC,Comisión para el Mercado Financiero,2025-05-01 00:00:00,186047
AFC,Comisión para el Mercado Financiero,2025-06-01 00:00:00,194323
AFC,Comisión para el Mercado Financiero,2025-07-01 00:00:00,202820
AFC,Comisión para el Mercado Financiero,2025-08-01 00:00:00,213005
AFC,Comisión para el Mercado Financiero,2025-09-01 00:00:00,135340
AFC,Comisión para el Mercado Financiero,2025-10-01 00:00:00,112539
AFC,Comisión para el Mercado Financiero,2025-11-01 00:00:00,93230
AFC,Comisión para el Mercado Financiero,2025-12-01 00:00:00,79467
AFC,FUAS-Mineduc (servicio),2024-01-01 00:00:00,2954
AFC,FUAS-Mineduc (servicio),2024-02-01 00:00:00,8047
AFC,FUAS-Mineduc (servicio),2024-03-01 00:00:00,9036
AFC,FUAS-Mineduc (servicio),2024-04-01 00:00:00,2693
AFC,FUAS-Mineduc (servicio),2024-05-01 00:00:00,2026
AFC,FUAS-Mineduc (servicio),2024-06-01 00:00:00,1655
AFC,FUAS-Mineduc (servicio),2024-07-01 00:00:00,1392
AFC,FUAS-Mineduc (servicio),2024-08-01 00:00:00,1617
AFC,FUAS-Mineduc (servicio),2024-09-01 00:00:00,1854
AFC,FUAS-Mineduc (servicio),2024-10-01 00:00:00,21605
AFC,FUAS-Mineduc (servicio),2024-11-01 00:00:00,4168
AFC,FUAS-Mineduc (servicio),2024-12-01 00:00:00,4093
AFC,FUAS-Mineduc (servicio),2025-01-01 00:00:00,4681
AFC,FUAS-Mineduc (servicio),2025-02-01 00:00:00,10289
AFC,FUAS-Mineduc (servicio),2025-03-01 00:00:00,12159
AFC,FUAS-Mineduc (servicio),2025-04-01 00:00:00,2128
AFC,FUAS-Mineduc (servicio),2025-05-01 00:00:00,2513
AFC,FUAS-Mineduc (servicio),2025-06-01 00:00:00,1998
AFC,FUAS-Mineduc (servicio),2025-07-01 00:00:00,1797
AFC,FUAS-Mineduc (servicio),2025-08-01 00:00:00,2008
AFC,FUAS-Mineduc (servicio),2025-09-01 00:00:00,1875
AFC,FUAS-Mineduc (servicio),2025-10-01 00:00:00,17867
AFC,FUAS-Mineduc (servicio),2025-11-01 00:00:00,2961
AFC,FUAS-Mineduc (servicio),2025-12-01 00:00:00,2145
AFC,Ministerio Público,2024-01-01 00:00:00,5421
AFC,Ministerio Público,2024-02-01 00:00:00,5018
AFC,Ministerio Público,2024-03-01 00:00:00,5496
AFC,Ministerio Público,2024-04-01 00:00:00,5443
AFC,Ministerio Público,2024-05-01 00:00:00,5488
AFC,Ministerio Público,2024-06-01 00:00:00,6181
AFC,Ministerio Público,2024-07-01 00:00:00,7112
AFC,Ministerio Público,2024-08-01 00:00:00,5913
AFC,Ministerio Público,2024-09-01 00:00:00,6079
AFC,Ministerio Público,2024-10-01 00:00:00,8066
AFC,Ministerio Público,2024-11-01 00:00:00,7833
AFC,Ministerio Público,2024-12-01 00:00:00,7201
AFC,Ministerio Público,2025-01-01 00:00:00,8888
AFC,Ministerio Público,2025-02-01 00:00:00,8459
AFC,Ministerio Público,2025-03-01 00:00:00,10477
AFC,Ministerio Público,2025-04-01 00:00:00,9778
AFC,Ministerio Público,2025-05-01 00:00:00,10171
AFC,Ministerio Público,2025-06-01 00:00:00,10542
