grupo_a,grupo_b,mes,co_uso,marginal_a,marginal_b,lift,p_valor
AFC,Comisión para el Mercado Financiero,2024-01-01 00:00:00,105833,713956,376086,5.5501,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-02-01 00:00:00,115871,722018,495924,4.5567,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-03-01 00:00:00,111836,754426,506872,4.1182,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-04-01 00:00:00,109588,688906,509364,4.3976,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-05-01 00:00:00,168682,698369,574521,5.9199,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-06-01 00:00:00,173860,751522,571089,5.7042,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-07-01 00:00:00,182488,728620,675319,5.2223,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-08-01 00:00:00,156647,656695,645509,5.2035,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-09-01 00:00:00,234675,663785,710208,7.0096,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-10-01 00:00:00,234804,746834,723635,6.1179,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-11-01 00:00:00,234551,686073,703050,6.8473,0.000e+00
AFC,Comisión para el Mercado Financiero,2024-12-01 00:00:00,204054,663292,631228,6.8627,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-01-01 00:00:00,208157,776056,692167,5.4566,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-02-01 00:00:00,185481,795539,660104,4.9735,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-03-01 00:00:00,193923,837022,733095,4.4501,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-04-01 00:00:00,178591,759420,725196,4.5663,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-05-01 00:00:00,186047,746155,711781,4.9327,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-06-01 00:00:00,194323,816088,753357,4.4507,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-07-01 00:00:00,202820,761025,817293,4.5917,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-08-01 00:00:00,213005,763278,834369,4.7096,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-09-01 00:00:00,135340,586945,747087,4.3461,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-10-01 00:00:00,112539,617163,823056,3.1197,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-11-01 00:00:00,93230,510396,786399,3.2707,0.000e+00
AFC,Comisión para el Mercado Financiero,2025-12-01 00:00:00,79467,529210,611680,3.4568,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-01-01 00:00:00,2954,713956,26705,2.1816,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-02-01 00:00:00,8047,722018,65353,2.4014,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-03-01 00:00:00,9036,754426,76028,2.2183,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-04-01 00:00:00,2693,688906,21692,2.5376,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-05-01 00:00:00,2026,698369,17736,2.3032,1.609e-256
AFC,FUAS-Mineduc (servicio),2024-06-01 00:00:00,1655,751522,12989,2.3874,2.542e-227
AFC,FUAS-Mineduc (servicio),2024-07-01 00:00:00,1392,728620,10238,2.6276,2.015e-229
AFC,FUAS-Mineduc (servicio),2024-08-01 00:00:00,1617,656695,13703,2.5303,2.345e-246
AFC,FUAS-Mineduc (servicio),2024-09-01 00:00:00,1854,663785,14787,2.6597,1.999e-309
AFC,FUAS-Mineduc (servicio),2024-10-01 00:00:00,21605,746834,227832,1.7879,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-11-01 00:00:00,4168,686073,37894,2.2575,0.000e+00
AFC,FUAS-Mineduc (servicio),2024-12-01 00:00:00,4093,663292,40966,2.1211,0.000e+00
