grupo_a,grupo_b,co_uso
AFC,Servicio de Impuestos Internos,3783638
Registro Social de Hogares (servicio),Servicio de Impuestos Internos,3628905
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,3425075
Registro Social de Hogares (servicio),Ventanilla Única Social (servicio),2989597
AFC,Registro Social de Hogares (servicio),2929695
AFC,Comisión para el Mercado Financiero,2853149
Servicio de Impuestos Internos,Ventanilla Única Social (servicio),2550353
Comisión para el Mercado Financiero,Registro Social de Hogares (servicio),2399843
Poder Judicial,Servicio de Impuestos Internos,2142026
AFC,Ventanilla Única Social (servicio),2087188
Poder Judicial,Registro Social de Hogares (servicio),1830868
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),1739206
AFC,Poder Judicial,1703093
Comisión para el Mercado Financiero,Poder Judicial,1599639
Poder Judicial,Ventanilla Única Social (servicio),1326220
Ministerio Público,Servicio de Impuestos Internos,726228
Ministerio Público,Poder Judicial,562198
Comisión para el Mercado Financiero,Ministerio Público,544334
Ministerio Público,Registro Social de Hogares (servicio),540012
AFC,Ministerio Público,534192
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),524520
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,468198
FUAS-Mineduc (servicio),Ventanilla Única Social (servicio),408208
Ministerio Público,Ventanilla Única Social (servicio),393454
AFC,FUAS-Mineduc (servicio),386620
Comisión para el Mercado Financiero,FUAS-Mineduc (servicio),304424
FUAS-Mineduc (servicio),Poder Judicial,228512
FUAS-Mineduc (servicio),Ministerio Público,78404
