inst_origen,inst_destino,soporte_total,n_pares_servicio,frac_prom_ponderada
INSTITUTO NACIONAL DE ESTADISTICAS,CARABINEROS DE CHILE,40041,10,0.9375140481006968
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE EVALUACION SOCIAL,398608,9,0.9149289527555895
MINISTERIO DE DESARROLLO SOCIAL,FONDO NACIONAL DE SALUD,287628,8,0.976379212037771
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE EVALUACION SOCIAL,669946,7,0.9389741859791685
SERVICIO DE IMPUESTOS INTERNOS,FONDO NACIONAL DE SALUD,113694,7,0.9188787447006879
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,CARABINEROS DE CHILE,24906,7,0.9628603549345539
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE EDUCACION,17807,7,0.8603919806817544
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,SUBSECRETARIA DE EVALUACION SOCIAL,17307,7,0.9808747905471774
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE EVALUACION SOCIAL,16052,7,0.9914029404435585
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,FONDO NACIONAL DE SALUD,11880,7,0.9999158249158249
FONDO NACIONAL DE SALUD,CARABINEROS DE CHILE,723120,6,0.8721028321717004
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE EVALUACION SOCIAL,433589,6,0.8995039080788488
SECRETARIA DE GOBIERNO DIGITAL,FONDO NACIONAL DE SALUD,187879,6,0.8606869314824968
INSTITUTO NACIONAL DE ESTADISTICAS,SERVICIO ELECTORAL,38165,6,0.9295951788287699
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,37168,6,0.8940755488592338
SUBSECRETARIA DE EDUCACION,FONDO NACIONAL DE SALUD,20130,6,0.8980129160457029
INSTITUTO NACIONAL DE ESTADISTICAS,FONDO NACIONAL DE SALUD,15471,6,0.9991597181824058
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,11905,6,0.9073498530029399
MINISTERIO DE DESARROLLO SOCIAL,FONDO DE SOLIDARIDAD E INVERSION SOCIAL,152728,5,0.893575506783301
FONDO NACIONAL DE SALUD,AFP UNO,135257,5,0.925379093133812
SERVICIO DE TESORERIAS,FONDO NACIONAL DE SALUD,124719,5,0.9073356906325419
MINISTERIO DE DESARROLLO SOCIAL,AFP UNO,123611,5,0.9551738922911392
SRCEI,SUBSECRETARIA DE EDUCACION,112275,5,0.9128568247606322
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE EDUCACION,98946,5,0.8852404341762173
INSTITUTO DE PREVISION SOCIAL,FONDO NACIONAL DE SALUD,94383,5,0.9796361632921183
ACEPTA.COM S.A.,SUBSECRETARIA DE REDES ASISTENCIALES,75822,5,0.9351375590198095
ACEPTA.COM S.A.,SUBSECRETARIA DE EDUCACION,48844,5,0.8943370731307837
SERVICIO AGRICOLA Y GANADERO,SUBSECRETARIA DE EDUCACION,26262,5,0.8639859873581601
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE VIVIENDA Y URBANISMO,20076,5,0.8833931061964535
SUBSECRETARIA DE EDUCACION,SUBSECRETARIA DE EVALUACION SOCIAL,17445,5,0.9593006592146747
