servicio,nombre,soporte_usuario_dia,n_usuarios_distintos_control
d602a0071f3f4db8b37a87cffd89bf23,PJUD - PODER JUDICIAL,52359509,2792684
123,Registro Civil - SRCeI,41232080,9820330
2549b51828ce40af920a932dd2102217,SII - Servicio de Impuestos Internos,32694584,6277446
e8dde9d26979498786c6ba5a82f70ad3,"Sucursal Virtual de AFC - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",28021737,5332738
495c261c0f484bd08e232f7358452c4d,CMF - Comisión para el Mercado Financiero,21463113,4329895
672f76fa24044d36b28fd11b50d7a4ec,Registro Social de Hogares - MINISTERIO DE DESARROLLO SOCIAL,21431858,6097450
67eb30db49f240b08ab2b3f422f92cdf,Portal MiDT - Dirección del Trabajo,20903947,3014281
67339e06f4b44f78994ff4785178807a,Mercado+Público - Dirección de Compras y Contratación Pública,19802386,483458
ffaec74bfd414f8394bab077a989e27f,miChileAtiende - Instituto de Previsión Social,18941963,3748575
209ce526160947f0b398566cd4cbfd0d,Portal de Aplicaciones Sence - Servicio Nacional de Capacitacion y Empleo,17508704,3232253
b4206ac5e3224dfd900588a8f7caf95e,FONASA - Portal Beneficiario - Fondo Nacional de Salud,16733574,5254240
4a94478dd25f4430a0a023b87e11170d,Milicenciamedica.cl - Subsecretaría de Salud Pública,16236918,1799556
9a76efc4c34e4bd7843206658dc45454,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital,12192393,6126359
ae4caa1cb2154cac89440f3fe18251cb,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,11411571,1973960
c82f84bf3f2b451393445a0cb6883665,Ventanilla Única Social - Subsecretaría de Evaluación Social,9956507,4145621
79bvfghg9a0a8tm25d16sddg7d61d4710,Extranjeria - Secretaría de Gobierno Digital,6245475,728398
f883bd6d70b043a09837e8b888fe3f65,Registro de Empresas y Sociedades - Subsecretaría de Economía y Empresas de Menor Tamaño,5763057,971039
dd7629fec91f4599b3cf8c0dd0b984ac,Sucursal Virtual FONASA - Fondo Nacional de Salud,5757499,2836329
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,Empleos Públicos - Servicio Civil,5727857,659057
dc8bcd185ce744798ceb1d9370f31bbc,Subsidio Eléctrico - Subsecretaría de Evaluación Social,5443327,3017884
51e1587ac2364f19bb4a9344841af223,www.sii.cl - Servicio de Impuestos Internos,5339442,2552175
9b4850c676834809858e3bcee027a27f,Autenticación TGR - Servicio de Tesorerías,5293738,1965375
c5b83bbfa22c4c31a5743485b4c6e524,Bolsa Nacional de Empleo - Subsecretaría del Trabajo,4856511,1239093
64d9be8046574fbfbc1fb14c9912afea,ASDigital - Ministerio de salud,3799769,348107
91f3f86897ff4ae39e50cbd7035fa8af,APIs Receta Electrónica - Subsecretaría de Salud Pública,3766820,235325
08165f6182bc4dfc9dc1d7774508bbc6,e-certchile - E-Cert Chile,3600616,2215992
86144f0d3b814c1d8c013f7aade6c55d,Sernac - Portal del consumidor - Servicio Nacional del Consumidor,3592857,1539984
347178b052294153af290d6a84589868,Mi Fiscalía en Línea - Ministerio Público,3448263,903947
66a493258641428ea9797fbe33fc8b27,ChileAtiende - Instituto de Previsión Social,3447638,2286452
1ad6835586034de0b29f4a402b182c6c,Comisaría Virtual 2 - Carabineros de Chile,3085188,1515396
38b3f29fe39b4e87b5f7982165de8cf1,Portal Servel - Servicio Electoral,3076047,1926211
dd02dca897074e77972f506652629762,Resultados Subsidio Eléctrico - Subsecretaría de Energía,2828500,1516456
01b56ab5b9be43e19fa06300994787ec,Bitácora Web - Ministerio Público,2750443,48440
b972e814004e4624a566f308901cca7c,DocDigital Versión 3 - Subsecretaría General de la Presidencia de la República,2708974,61366
ae54454684154c25bd33c6e04609652b,Sistema de Apelación Contra de Isapres - Subsecretaría de Salud Pública,2707520,279105
8af63e063a2a42098caed55eeb24acf0,Acceso Clave Unica UFRO - Universidad de La Frontera,2531606,201478
fb3957569a8d49528c3571bcb4703f55,MINVU - Subsecretaría de Vivienda y Urbanismo,2414692,830880
0f33ab6447034fe49d1629353a119e47,Superintendencia en Línea - Mi Portal - Superintendencia de Seguridad Social,2282488,745337
74e60dc3bc26493d81088e4d322b7c39,SignPass - BPO Advisors SpA,2233468,1362270
ef1dd1f1a5b94d0eacb669f7b3ec2911,Mi Crédito CAE - Comisión Administradora del Sistema de Créditos para Estudios Superiores,2160954,692791
ee00832abfba40b38335ce48a12981b5,Autenticacion Nube  Privada - Servicio de Impuestos Internos,2072531,1422960
88d08ee1a5384a7fbe4bfddb8928ce82,Sistema Midas - Subsecretaría de Salud Pública,1972634,52454
2ff516ac74a44ebfa3a522adbde28a0f,E-Sign ClaveÚnica - ESIGN S.A.,1951124,1305546
3af2d18b09e6443fa289e956fc10669f,Red Movilidad - Subsecretaría de Transportes,1878012,942322
fe6cad21b5414356a6da4927029f942a,Protección Social - MDS,1749240,1041236
31050e1a1dcb4c9899ba77be32449e54,Bono electrónico y LME - Superintendencia de Seguridad Social,1647831,685721
6daae6995cb245348bb2b5432ccc9948,DIRECTEMAR - Dirección General del Territorio Marítimo y Marina Mercante,1616914,99777
d74a389b77734996ba37fa61a0d08341,DECLARACION JURADA - Servicio Agrícola y Ganadero,1615768,861686
0a750e36725e495ba32bd43a5f170724,FUAS-Mineduc - Subsecretaría de Educación,1540775,772217
52449c34bb1e47fe81802bf322dae8ee,bcm2.sii.cl - Servicio de Impuestos Internos,1478436,729349
a2e46ce2ee1e4150954d6c6864c54578,Comisaría Virtual Constancia de votación - Carabineros de Chile,1464905,888725
9c9359fefd164d388f8a5edc2bac301e,Contraloría - Contraloría General de la República,1463842,37662
94d27864f86d422faa68efccb908cc34,,1458534,761267
2badb2213b864c8ca35187359570cf0c,ACEPTA - ACEPTA.COM S.A.,1412967,854659
8be8c6cea95d4e28a90558288d8f262b,Actas de mediación en línea - Subsecretaría de Justicia,1342390,497283
2568c649c62d46af960451f6284203d2,IMG - MDS,1331233,500633
a7709b21161d459298dc5dc58e77310b,DIPRECA3 - Dirección de Previsión de Carabineros de Chile,1319966,118962
0b145fb41bc84dc58a5beb5b4ef11b17,Servicios en linea - Caja de Previsión de la Defensa Nacional,1312158,215481
1e89b0b11b0e417bbd199a3aac7717ee,MEVACUNO - Subsecretaría de Redes Asistenciales,1308789,778164
dcd0b6134a8846c1ac7171f8530945ab,Identidad Única - Ministerio de Vivienda y Urbanismo - Subsecretaría de Vivienda y Urbanismo,1208170,511124
6a91c10b9e8341afbd387fb72bab3cf7,Comisión de Medicina Preventiva e Invalidez - Subsecretaría de Salud Pública,1174377,277938
dc821110e3f34bf3984d61955ced2e69,Licencia de Conducir Digital - Subsecretaría de Transportes,1131847,414406
742521491f624a78a2b81aaf331eca4c,DJ Simple - Servicio Agrícola y Ganadero,1077548,644396
ab2dd6e0890c4b5483973add6fa1b91b,Sercotec - Servicio de Cooperación Técnica,1028428,342999
14cc5dc0682d44fe99d2d91e1eaafac7,SIMPLE - Corporación Nacional de Desarrollo Indígena,1019512,437560
fdd7e5cf453e42d7b8cb2334d3a7bff9,Telesalud - Subsecretaría de Redes Asistenciales,1006638,365551
b1b009877e0c4e0790fd92559d853d69,Mi Súper - Superintendencia de Salud,1000259,456242
c53530ec6ae845db978d8fb2de69e179,Afiliación e inscripción en atención primaria en línea - Fondo Nacional de Salud,986759,670786
ed6beff4035f49c6997be95df71e5544,Subsidio Familiar Automático - Subsecretaría de Evaluación Social,977884,446809
6e12533e73a048efa8bcc0a30f2b7684,Dirección General de Movilización Nacional - Dirección General de Movilización Nacional,935517,602663
cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,Portal Usuario 2.0 - Subsecretaría de Justicia,906127,351695
4060f34dc33042fda53efdfd0594b679,Capacitación ChileCompra - Dirección ChileCompra,894862,123913
cc892c05f6d94315be2b7539e45b9170,Ventanilla Única 2.0 - Ministerio del Medio Ambiente,883351,53910
d254feea701346a399887b9fe59ac61a,Plataforma de Telemedicina - Subsecretaría de Redes Asistenciales,860682,61491
6d52b87b5a964c61ad7e28afd9499f18,Mis Trámites CGR - Contraloría General de la República,812980,160365
fb944d98fea445bda57de000993d3e25,Accede a tu Portal Paciente - Servicio de Salud Maule,803777,141357
60b69c5d160f4b1c90e79d8290b904c1,Patrocinios - Servicio Electoral,802013,610747
894c246eb00a482da371617f75149e30,Contraloria General de la Republica - CONTRALORIA,763444,214095
3346db58cd2d474fbcf63e827462b85d,Single Sign-On - Subsecretaría de Evaluación Social,748485,21197
02f0f8beb94542deac503efd6a774262,SSMSO - Servicio de Salud Sur Oriente,717419,84689
239b1152a21a4cebb35b2a9dc02b10a9,Agencia de Calidad de la Educación - MINISTERIO DE EDUCACION,702015,158909
e9b4ca99b7054bc986bb0a057cf4e2e5,,674921,453582
2ae2ca1a377048a58815f54a432f8a21,Portal Paciente - Subsecretaría de Redes Asistenciales,646451,431462
a6c839544c0440f5bf2ce98e7396613f,Aula Virtual CEA - Contraloría General de la República,629234,124436
3d6941a46f8b4441973872f1f209bdec,Devolución de Pagos en excesos - Fondo Nacional de Salud,617782,539047
6743ad379b094f98ad903d0f0304add1,Procedimiento Administrativo Electrónico - Superintendencia de Seguridad Social,611001,277189
edd67e7adef0443982c72ffc4d55ca4a,Portal de Beneficios - Gendarmería de Chile,608992,20459
a8d1ad79c34d4bad8196c8278e8fa73f,SPP - Fondo de Solidaridad e Inversión Social,607970,395540
0de46482bc4d409c86f652534e4b47eb,documentos - cyberdocs - Servicio Nacional del Patrimonio Cultural,607305,460025
8394b3beb22f419ca01c64dc31db11p1,IPS - persona - Instituto de Previsión Social,606844,386536
eae6a8d122774db4ba88162a875db6a6,Recetas en línea - Acceso Químico farmacéutico - Subsecretaría de Salud Pública,579371,9939
b15e46acff6b4a7487ad18cdac3a21d0,Hospital Sotero del Río - Servicio Salud Metropolitano Sur Oriente,569533,74366
b31017b848694be1b92f15c6dad1ca2c,Sanidad Naval - Sanidad Naval de la Armada de Chile,569380,51956
8c1942e0cdce4f71b53f62474322f0b7,Superintendencia de Electricidad y Combustibles - SUPERINTENDECIA DE ELECTRICIDAD Y COMBUSTIBLES,564239,122878
3d639e0a581e4afbbc3976eed669f5c6,Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,560861,342064
1eec93924a1046efbad70c851782ab8a,Trámites INAPI - Instituto Nacional de Propiedad Industrial,559510,161382
7f2c2c35a2de4624ad938147f73f271a,Registro Nacional de Mascotas y Animales de Compañía - Subsecretaría de Desarrollo Regional y Administrativo,557163,318811
4f22549f9d3a443cb041c0e55395dbf1,Comisaría Virtual Denuncias - Carabineros de Chile,553782,433303
bad2f211e95f4cb6b1c71e2984464f45,Plataforma Ley del Lobby - Subsecretaría General de la Presidencia de la República,522755,96261
7249a9adb1c343aba8db068dbe0c3795,Simple Trámites - Subsecretaría de Evaluación Social,491316,302467
fd595f24910c4126b7398b3e081af528,Instituto Seguridad Laboral - Instituto Seguridad Laboral,478416,226509
d0b1e3a4c2434e65be47566dcc3e2ee0,Municipalidad de Los Angeles - Ilustre Municipalidad de Los Angeles,475901,75045
95b7bf6083634811b6ec1552e2ed5fad,Gestión Telesalud - Subsecretaría de Redes Asistenciales,461663,17260
32f2a35e790544ec9e040345f8a364f3,Defensoría Penal Pública - DEFENSORIA PENAL PUBLICA,455766,243138
c52ceac3693c4644bb20f07dd8aa7103,Firma Electronica - Secretaría de Gobierno Digital,451882,132891
1bb1657eb2eb43808f0529810258aa3b,Autenticación Sistemas DPP - Defensoría Penal Pública,425118,6799
9ae54d261e454c93ae1c2cdec0fd03e6,Login certificado afiliacion - Fondo Nacional de Salud,402435,360973
c13d78fe65b94d05ad83b59494767b9f,Beneficios Personal - Gendarmería de Chile,400362,20173
0335e32e61b248ae8ab98cb955f915dd,Sistema de ambiente de Clientes - Central de Abastecimiento del Sistema Nacional de Servicios de Salud,397415,14953
0faae9b6b5084555a1873eff484b4d9c,Agendamiento Licencia Conducir - Municipalidad de Puente Alto,396442,116886
a4db025d032f42578306d5461abdda40,CAPREDENApp - Redin,386017,26642
5aa1a66c9e844e18a4a41740ed4aa476,Recetas en línea - Acceso Prescriptor - Subsecretaría de Salud Pública,379949,17956
5492b6e4db6948aca469c21d05b18721,Ley del Lobby - Comisión para la Integridad PÚblica y Transparencia,377314,74897
387ff07354a74657a44369e05d83234a,Nuevo Sitio Web FONASA - Fondo Nacional de Salud,362537,279328
dfd423dde87b47d382b736a15a36ac68,App La Florida - Municipalidad de La Florida,360334,118548
9de3d28661c84c6a92f3749320e52473,Comisaría Virtual Funcionarios - Carabineros de Chile,360334,288668
fe1194092c934e70b824f3014a2f020d,Portal Único de Fondos Concursables del Estado - Subsecretaría General de Gobierno,359196,77790
5235b9f356954973a226cb6fc12c9d6e,Sistema Alta Dirección Pública - Dirección Nacional del Servicio Civil,353382,52509
4830b97416a14d1485ccb85c9f9baa4e,Trámites SP - Superintendencia de Penssiones,337084,261008
3e2a4d42827d43d0b90248199e58e98e,Mineduc-Ayudamineduc - Subsecretaría de Educación,336440,274848
638aea308ffb483198d5c1387e2cc017,"Portal ""Mi SUPERIR"" - Superintendencia de Insolvencia y Reemprendimiento",327962,135374
9f3c39663dac4e6791811016adc217da,"Sistema Cuenta Cultura - Ministerio de las Culturas, las Artes y el Patrimonio",327337,67471
399e7fc266894562850261cfbc06b992,Denuncia en Linea - Ministerio Público,299014,195231
70fd978d824c4fdc909e815f04cbb466,CGR - Contraloría General de la República,292133,15958
dbc3de69546243e48121124f1033cff8,Contrataciones Censo 2024 - Instituto Nacional de Estadísticas,290344,44220
56da1c80cfea4a5b83326bfef271fc3e,Escritorio de Aplicaciones - Ministerio Público,287865,4901
ddf47b043bc04fa0bd7d61b8af3f9b2c,Autenticacion UChile - Universidad de Chile,284034,144778
9f88dc88029e42d3a5b082ab396be6d3,Sistema de Postulación Único - Carabineros de Chile,283939,154434
be4240b37c354311af26b2846acba9c7,Clave Única USACH - Universidad de Santiago de Chile,272093,29984
b6a7ac98c6704aa6b6512efa5fa8dbfe,Corfo - Corporación de Fomento de la Producción,265324,69677
eb6b584fde4141aea5dafddee3e7ad4e,Listado de trámites digitales - Subsecretaría de Educación,261857,141621
e10304f95c2b40738695563eb9b8662c,SISTEMA DE ATENCIÓN DE CONSULTA - Comisión Administradora del Sistema de Créditos para Estudios Superiores,260364,122807
62a5285108824e269a3fa09e9c233440,SEC - Atención Ciudadana - Superintendencia de Electricidad y Combustibles,260014,135679
2a4a00c47ac6468395984ee10ebc8dc3,Portal único de Trámites SERPAT - Servicio Nacional del Patrimonio Cultural,256763,115510
6a322ad743e3464bae56d2d9b180078a,,246401,187899
558b533275bd41bca3094acb6a85113a,Servicio de Evaluación Ambiental - Servicio de Evaluación Ambiental,244213,44243
86480a9f563349b1a2974d9f43548e59,Portal Pacientes HMS - Ejército de Chile,241216,46823
b7c988fa6132435480b57f66696827fd,Pase Cultural - Subsecretaría de Evaluación Social,239517,170186
40fc9588a8e04b28852ec1163528bb8a,PAEx DGMN - Dirección General de Movilización Nacional,238363,118232
bf676d9b342d438d8bd0b02c718133af,Firmador MOP - Subsecretaría de Obras Públicas,237464,6073
41da80f6154c4d918166fc43862f5d78,Web Cajmetro - Corporación de Asistencia Judicial de la Región Metropolitana,237250,139050
c599d10f1d6a441b9a1a297073d5bd31,Tramites Mineduc - Ministerio de Educación,233952,155904
ea3b3bbfa0bd4b99ae4fd1176a22d13c,Bono Logro Escolar - Subsecretaría de Servicios Sociales,233406,168623
7d0c4697a4f849e38021ccb192e0b4a7,"Niños, Niñas y Adolescentes - Subsecretaría de Evaluación Social",229603,4087
2e0f9d54f6534336a19fffacd7b6af40,Sitio Web UNO Privado - AFP Uno,226204,182846
818d938a32ad4dc19cfd13f6575ddc5a,SSO - Servicio Agricola y Ganadero,226140,35634
64b50202d6b74bfcb78c7342823e0f4f,Cesantía - Comisión Administradora de Sistema de Créditos para Estudios Superiores,225053,61576
2c12290764aa4f67ba25e9cf801bd06c,Servel - Servicio Electoral,221354,168364
b3b9221510904977b1c9f12ea7108119,Contactanos DT - Dirección del Trabajo,217435,150409
5f686fded1294c02a7a5c3298f2eec5b,Sistema SEIM - Subsecretaría de Transportes,217298,27629
4bb573e349504824b5b5a050a83e094d,ChileCompra - Centro de Ayuda - Dirección de Compras y Contratación Pública,207439,67922
73a70ddc48e349d988860ae685eaa133,SUBSECRETARÍA DE PREVENCIÓN DEL DELITO - Subsecretaria de Prevención del Delito,207168,20223
285f4ab87d9a4484a4e8fa6e7db43fe6,Sistema de Registro - Subsecretaría de Evaluación Social,206915,141283
4a9c2f22f9d047569a0ceafcb9741033,Campus Servicio Civil - Dirección Nacional del Servicio Civil,206373,55625
20acab350ddf489c931028b7a6a1ff99,Sucursal Virtual Jeafosale - Ejército de Chile,203532,26844
705b78c3d59c4e1bbeaec3123c0f6de2,ApelaciónbeneficiosEstudiantil - Subsecretaría de Educación,201976,83963
f31ed616d84449edb5fdd8cd332552b2,dom digital - Municipalidad de Temuco,199897,20674
e423b8339a57485d8b524937d93e4f44,SIMPLE - Gendarmería de Chile,196735,107728
68244c73eb7a429a9c70a3dbf247293f,Bolsa nacional de empleo - Subsecretaría del Trabajo,194496,32823
ce833d51dcb649b7a1fbba15d138a4a5,Plataforma de Capacitación Censo - Instituto Nacional de Estadísticas,193051,43755
f44bedcfbdb64a818e717b872a002abd,Ingreso a Municipalidad de Santiago - Municipalidad de Santiago,191410,84502
68b13a1228424526b43e2f78716efd3b,Pagos Diario Oficial - Subsecretaría del Interior,190403,64792
18bec3e707784a978d9d89f2967f87de,SERVEL- RENDICION - Servicio Electoral,188333,24779
be09a0ddbb9b4c4aaf78903e0ca27a75,Contingencia - Comisión Administradora de Sistema de Créditos para Estudios Superiores,184819,53290
5af89d91c7c74476ad4546b1db07c56c,Mi HC OnLine - Servicio de Salud Arica y Parinacota,178555,63389
a647689891b84948871ff7099253a553,Autoconsulta SSASUR - Servicio Salud Araucanía Sur,174118,49657
834cf291d50b4e3299f82dfeba3c998e,Requisitos para Ofertar - Dirección de Compras y Contratación Pública,170867,43542
64e1a053d6f44ff89eae1e4c321a6392,Fonasa - Fondo Nacional de Salud,169080,140105
4461c788433345b8a4a296b35aa9499d,Superintendencia de Educación - Superintendencia de Educación,168837,85772
75f9d382b18d402fae4a2061eb768169,Municipalidad Las Condes - Municipalidad de Las Condes,168155,71183
fb74231009884254b2d13b0fd9056247,Carrera Docente CPEIP - Subsecretaría de Educación,165545,68315
f6aa209f0860477380c878df96de1c84,Fondo de Solidaridad e Inversión Social - Cerofilas - Fondo de Solidaridad e Inversión Social,164860,113711
3a631284571347bf8acba49209e63034,Gesparvu Junji - Junta Nacional de Jardines Infantiles,162534,16881
478deb22cecd489eb3ed2dcc954a975b,Portal Vecino - Municipalidad de Providencia,161444,81617
c2f8201a4d224d81babdcea072e5cec4,https://tramites.subtel.gob.cl - Subsecretaría de Telecomunicaciones,159766,89262
cd40ad229df147389504190c71de61f5,Sistema de Acceso Unico - Instituto de Desarrollo Agropecuario,158181,74533
f2eaffaf45b84b9c8e39cc303a97e9d7,SIMPLE - Secretaría de Gobierno Digital,150702,67053
3009f6f4befb498fbed7dbf1b189f47c,Sistema Electrónico de Postulación - Comision Nacional de Riego,148633,2461
5af95b4c9eec408dad00e7b5a2a16b92,Servicio de Salud Tarapacá - Servicio de Salud Tarapacá,145683,12413
e7c03dd9e5044ca7a0945b6bbe4be826,IFE Laboral - Servicio Nacional de Capacitación y Empleo,142726,116151
16ffe077cc1a4b11a19bea91abce6f9c,SIMEF v5 - Subsecretaría de Justicia,142193,2776
ae412e532f1a48428bd0c5ad1f02f816,Sistema de gestión de licencia - Subsecretaría de Transportes,140672,3333
a7925c7ee6674a30ae9f3f4045785095,Gestión Documental - Ilustre Municipalidad de Peñalolén,139152,33282
eb838855f2344f65a4c925df80cdcad5,Cero Filas SAG - Servicio Agrícola y Ganadero,138049,50292
ee1016d1de3347b79368186e86dfc2c2,DOM Digital - municipalidad de puerto montt,137743,11184
c63d7e67e1f8454386089193582563ea,Campus Virtual - Subsecretaría de Evaluación Social,133236,23980
f5d8ddb9e3924b09901a9ce38dddc362,Single Sign-On - Subsecretaría de Transportes,128967,16225
15a67718e1784a67bc978ca0dc6bc2df,Portal de Exámenes - Servicio de Salud Ñuble,128747,31627
e22c65a41fbf4ff689d49576ff976483,Candidaturas - servicio electoral,128216,37725
74ed652f9a9242c590651fe4cff0d492,Ingreso a Intranet UTA - Universidad de Tarapacá,128021,9500
ed07316d9d6344a9ab11e8a41fdc413a,NEXTEO - Subsecretaría de Transportes,127253,2493
c150a834cbcc40d09aeed2f8703f4dd3,Trámites Dirección Trabajo - Dirección del Trabajo,125966,72915
ad571b40258e4862b37b31fbbe2d8ab5,HOSPITAL DE IQUIQUE - Servicio de Salud Tarapacá,125088,23078
067325b206034a09a16597b6c55d26a8,Red Movilidad - Subsecretaría de Transportes,123604,87229
585115d181ea4a77bf361f06a32100ea,Senda Moodle - Servicio Nacional de Prevención y Rehabilitación del Consumo de Drogas y Alcohol,120887,36229
4ef0ced873174ee9afc306e414132c72,Carabineros de Chile - Cerofilas - Carabineros de Chile,120846,73093
c765193a11274b73b1ffa97efd6fbc3b,Servicio Único de Identidad - SMA - Superintendencia del Medio Ambiente,120338,26782
f2ad242297b04a5ea53ed2df4e5d71b4,Recursos de Reposición - Subsecretaría de Educación,120072,16237
34acd5e31fc14060a1a96777113872bd,Postulación en línea DS1 - Subsecretaría de Vivienda y Urbanismo,119626,83630
b34fe8a89b9a43189ec5be764c3b695c,Canales Digitales AFP UNO - AFP Uno,118372,94310
2ad4912955564809a967e35f45df29fc,Postulación Beneficios Municipalidad de Puente Alto - Municipalidad de Puente Alto,116341,35196
b785d3ec935248ff8a8fd358f7765463,Pesca Recreativa - Servicio Nacional de Pesca y Acuicultura,116267,81229
e9793e137f8c4928980c8de4aeb9e473,Trámites Senadis - Servicio Nacional de la Discapacidad,114863,34219
b2ace35bc76642f495f04addfca9e3aa,Plataforma de Cursos DDHH - Subsecretaría de Derechos Humanos,113969,41622
c2e3edc90e0542d7bd3cfece63a890e5,Registro nacional de Proveedores - Dirección de Compras y Contratación Pública,113458,89611
bca102f277434b31b59e4894d9eb5ef8,Plataforma SEM 2.0 - Subsecretaría de Desarrollo Regional y Administrativo,111610,30315
d44f2fafe10b4397ac7557cd13747bd2,RPI - MTT,111352,83823
a77e76b1e0eb4cc3ae3a1df547fbf4cb,Prácticas Chile - Dirección Nacional del Servicio Civil,110824,33313
c7d9f088b4be4e38924fcfa78a6b5496,Directores para Chile - Servicio Civil,108119,10840
4234d86a351e4a7e9ea293e33836ae45,Oficina Virtual DGA - Dirección General de Aguas,101737,28478
a4b6a99bdf274e679d55747b64987bc5,SIPA DGAC - Dirección General de Aeronáutica Civil,101162,23854
8c2eff865c5f40dbae0d6ccbc47e1d9c,Direccion del Trabajo - DIRECCION DEL TRABAJO,100264,2279
e5b8388e1275417395d526c566b0e1e8,Servicio Nacional de Aduanas - Servicio Nacional de Aduanas,99678,33438
26ce850e25c04398a2da12f4478e7597,Registro de profesionales - Subsecretaría de Educación,99531,42486
856e64720e4f47afa86454cee150efd5,Superintendencia de Educación Superior - Superintendencia de educacion superior,98116,18162
d6d4327ae40445518a3c8a6e62137cd6,Gobierno Digital Simple - Secretaría de Gobierno Digital,96260,37539
6f7b8ef5a7204c4b92d0ca778317d790,Gestor documental ZeCeroPapel - Servicio Nacional de Protección Especializada a la Niñez y Adolescencia,95941,3160
888fb026b62d4a75920fe44a0af43ad4,Subsecretaría de Transportes - Subsecretaría de Transportes,93356,38188
