institucion,marginal,n_total
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,9820357,14081161
SERVICIO DE IMPUESTOS INTERNOS,7051586,14081161
SECRETARIA DE GOBIERNO DIGITAL,6538590,14081161
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,6365083,14081161
FONDO NACIONAL DE SALUD,6335323,14081161
SUBSECRETARIA DE EVALUACION SOCIAL,6125255,14081161
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,5338951,14081161
INSTITUTO DE PREVISION SOCIAL,4931820,14081161
COMISION PARA EL MERCADO FINANCIERO,4329895,14081161
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,3266962,14081161
PODER JUDICIAL,3246394,14081161
DIRECCION DEL TRABAJO,3044807,14081161
CARABINEROS DE CHILE,2539510,14081161
SERVICIO ELECTORAL,2457449,14081161
SUBSECRETARIA DE SALUD PUBLICA,2300001,14081161
E-CERT CHILE,2215992,14081161
SERVICIO DE TESORERIAS,1972259,14081161
SERVICIO NACIONAL DEL CONSUMIDOR,1559207,14081161
SUBSECRETARIA DE ENERGIA,1517217,14081161
SUBSECRETARIA DE TRANSPORTES,1447843,14081161
SUBSECRETARIA DE REDES ASISTENCIALES,1442522,14081161
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,1395422,14081161
BPO ADVISORS SPA,1362270,14081161
E-SIGN S.A.,1305546,14081161
SUBSECRETARIA DE EDUCACION,1287858,14081161
SUBSECRETARIA DEL TRABAJO,1252817,14081161
SERVICIO AGRICOLA Y GANADERO,1248989,14081161
SUBSECRETARIA DE VIVIENDA Y URBANISMO,1194254,14081161
MINISTERIO PUBLICO,1019668,14081161
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,996716,14081161
ACEPTA.COM S.A.,854883,14081161
DIRECCION NACIONAL DEL SERVICIO CIVIL,737238,14081161
SUBSECRETARIA DE JUSTICIA,733737,14081161
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,718630,14081161
DIRECCION GENERAL DE MOVILIZACION NACIONAL,702113,14081161
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,554381,14081161
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,542520,14081161
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,488914,14081161
SUPERINTENDENCIA DE SALUD,456242,14081161
CORPORACION NACIONAL DE DESARROLLO INDIGENA,438899,14081161
CONTRALORIA GENERAL DE LA REPUBLICA,424886,14081161
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,378710,14081161
MINISTERIO DE SALUD,350242,14081161
SERVICIO DE COOPERACION TECNICA,343002,14081161
MINISTERIO DE EDUCACION,278205,14081161
AFP UNO,275210,14081161
SUPERINTENDENCIA DE PENSIONES,264497,14081161
DEFENSORIA PENAL PUBLICA,250764,14081161
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,240378,14081161
INSTITUTO DE SEGURIDAD LABORAL,226514,14081161
CAJA DE PREVISION DE LA DEFENSA NACIONAL,222671,14081161
UNIVERSIDAD DE LA FRONTERA,201482,14081161
MUNICIPALIDAD DE PUENTE ALTO,169197,14081161
SUBSECRETARIA DE SERVICIOS SOCIALES,168968,14081161
INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL,161819,14081161
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,157116,14081161
SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,145494,14081161
UNIVERSIDAD DE CHILE,144841,14081161
SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,144777,14081161
SERVICIO DE SALUD MAULE,142695,14081161
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,139050,14081161
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,131194,14081161
GENDARMERIA DE CHILE,119626,14081161
MUNICIPALIDAD DE LA FLORIDA,119238,14081161
MUNICIPALIDAD DE SANTIAGO,109655,14081161
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,103106,14081161
SERVICIO NACIONAL DE ADUANAS,102565,14081161
SUBSECRETARIA DE TELECOMUNICACIONES,99831,14081161
SERVICIO NACIONAL DE PESCA Y ACUICULTURA,95903,14081161
CONSEJO NACIONAL DE TELEVISION,89709,14081161
SUPERINTENDENCIA DE EDUCACION,85772,14081161
MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,83823,14081161
MUNICIPALIDAD DE PROVIDENCIA,81617,14081161
SUBSECRETARIA GENERAL DE GOBIERNO,80788,14081161
SUBSECRETARIA DEL INTERIOR,75575,14081161
MUNICIPALIDAD DE LOS ANGELES,75393,14081161
COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,74897,14081161
INSTITUTO DE DESARROLLO AGROPECUARIO,74533,14081161
POLICIA DE INVESTIGACIONES DE CHILE,74238,14081161
MUNICIPALIDAD DE LAS CONDES,71183,14081161
CORPORACION DE FOMENTO DE LA PRODUCCION,69677,14081161
"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",67471,14081161
EJERCITO DE CHILE,64725,14081161
SERVICIO DE SALUD ARICA Y PARINACOTA,63389,14081161
SERVICIO DE EVALUACION AMBIENTAL,59276,14081161
PRESIDENCIA DE LA REPUBLICA,58969,14081161
MINISTERIO DEL MEDIO AMBIENTE,57834,14081161
INSTITUTO NACIONAL DE ESTADISTICAS,52630,14081161
SANIDAD NAVAL DE LA ARMADA DE CHILE,51956,14081161
INSTITUTO NACIONAL DE LA JUVENTUD,51205,14081161
SUBSECRETARIA DE HACIENDA,49783,14081161
SERVICIO DE SALUD ARAUCANIA SUR,49657,14081161
SUBSECRETARIA DE PREVISION SOCIAL,48279,14081161
SUBSECRETARIA DE DERECHOS HUMANOS,47724,14081161
E-DIGITAL PKI SPA.,41878,14081161
SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,37538,14081161
MUNICIPALIDAD DE NUNOA,35167,14081161
SERVICIO NACIONAL DE LA DISCAPACIDAD,34312,14081161
JUNTA NACIONAL DE JARDINES INFANTILES,33697,14081161
MUNICIPALIDAD DE PENALOLEN,33282,14081161
SERVICIO DE SALUD TARAPACA,32878,14081161
SERVICIO DE SALUD NUBLE,31627,14081161
DIRECCION GENERAL DE AGUAS,31459,14081161
SERVICIO DE SALUD METROPOLITANO ORIENTE,31446,14081161
DIRECCION GENERAL DE AERONAUTICA CIVIL,31437,14081161
INSTITUTO DE SALUD PUBLICA DE CHILE,31230,14081161
UNIVERSIDAD DE SANTIAGO DE CHILE,29984,14081161
CERTIFICADORA DEL SUR,28321,14081161
SUBSECRETARIA DE BIENES NACIONALES,27711,14081161
SUPERINTENDENCIA DEL MEDIO AMBIENTE,27070,14081161
MUNICIPALIDAD DE VALPARAISO,26943,14081161
DIRECCION GENERAL DEL CREDITO PRENDARIO,26837,14081161
REDIN,26642,14081161
AFP MODELO,26595,14081161
SUBSECRETARIA DE PREVENCION DEL DELITO,26325,14081161
