inst_a,inst_b,marginal_a,marginal_b,n_both,n_total
CHILECOMPRA,SUBSEC_EVAL_SOCIAL,542520,6124946,233810,14081161
INE,SUBSEC_EVAL_SOCIAL,52630,6124946,34455,14081161
CHILECOMPRA,FONASA,542520,6335323,296964,14081161
INE,SERVICIO_ELECTORAL,52630,2457449,19909,14081161
FONASA,SUBSEC_ECONOMIA_MIPYMES,6335323,996716,521269,14081161
SUBSEC_EDUCACION,FONASA,1287858,6335323,834987,14081161
INE,FONASA,52630,6335323,41862,14081161
CHILECOMPRA,SUBSEC_ECONOMIA_MIPYMES,542520,996716,209473,14081161
MDS,FOSIS,6365083,488914,407760,14081161
FONASA,AFP_UNO,6335323,275210,209688,14081161
