inst_origen,inst_destino,soporte_total,n_pares_servicio,frac_prom_ponderada,servicio_ejemplo,soporte_ejemplo,lag_p25_ejemplo,lag_mediano_ejemplo,lag_p75_ejemplo,clase_estabilidad_ejemplo,posible_hub_universal
INSTITUTO NACIONAL DE ESTADISTICAS,CARABINEROS DE CHILE,40041,10,0.938,Contrataciones Censo 2024 - Instituto Nacional de Estadísticas -> Comisaría Virtual 2 - Carabineros de Chile,8319,81.0,236.0,377.0,posible_censura_o_retiro,False
FONDO NACIONAL DE SALUD,SUBSECRETARIA DE EVALUACION SOCIAL,398608,9,0.915,FONASA - Portal Beneficiario - Fondo Nacional de Salud -> Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,197243,211.0,360.0,451.0,estable_completo,True
MINISTERIO DE DESARROLLO SOCIAL,FONDO NACIONAL DE SALUD,287628,8,0.976,Registro Social de Hogares - MINISTERIO DE DESARROLLO SOCIAL -> Nuevo Sitio Web FONASA - Fondo Nacional de Salud,157484,281.0,411.0,504.0,posible_censura_o_retiro,True
MINISTERIO DE DESARROLLO SOCIAL,SUBSECRETARIA DE EVALUACION SOCIAL,669946,7,0.939,Registro Social de Hogares - MINISTERIO DE DESARROLLO SOCIAL -> Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,282386,295.0,403.0,468.0,posible_censura_o_retiro,True
SERVICIO DE IMPUESTOS INTERNOS,FONDO NACIONAL DE SALUD,113694,7,0.919,www.sii.cl - Servicio de Impuestos Internos -> Nuevo Sitio Web FONASA - Fondo Nacional de Salud,72155,97.0,353.0,460.0,estable_completo,True
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,CARABINEROS DE CHILE,24906,7,0.963,Registro nacional de Proveedores - Dirección de Compras y Contratación Pública -> Comisaría Virtual Constancia de votación - Carabineros de Chile,9040,134.0,242.0,493.0,posible_censura_o_retiro,False
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE EDUCACION,17807,7,0.86,Contrataciones Censo 2024 - Instituto Nacional de Estadísticas -> FUAS-Mineduc - Subsecretaría de Educación,6130,139.0,229.0,373.0,posible_censura_o_retiro,False
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,SUBSECRETARIA DE EVALUACION SOCIAL,17307,7,0.981,Registro nacional de Proveedores - Dirección de Compras y Contratación Pública -> Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,5048,286.0,364.0,438.0,posible_censura_o_retiro,False
INSTITUTO NACIONAL DE ESTADISTICAS,SUBSECRETARIA DE EVALUACION SOCIAL,16052,7,0.991,Contrataciones Censo 2024 - Instituto Nacional de Estadísticas -> Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,4303,417.0,426.0,451.0,posible_censura_o_retiro,False
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,FONDO NACIONAL DE SALUD,11880,7,1.0,Registro nacional de Proveedores - Dirección de Compras y Contratación Pública -> Login certificado afiliacion - Fondo Nacional de Salud,3078,322.0,425.0,531.0,posible_censura_o_retiro,False
FONDO NACIONAL DE SALUD,CARABINEROS DE CHILE,723120,6,0.872,FONASA - Portal Beneficiario - Fondo Nacional de Salud -> Comisaría Virtual Constancia de votación - Carabineros de Chile,419823,136.0,240.0,423.0,estable_completo,True
INSTITUTO DE PREVISION SOCIAL,SUBSECRETARIA DE EVALUACION SOCIAL,433589,6,0.9,miChileAtiende - Instituto de Previsión Social -> Mi Portal de Emprendimiento - Subsecretaría de Evaluación Social,209418,163.0,400.0,474.0,estable_completo,False
SECRETARIA DE GOBIERNO DIGITAL,FONDO NACIONAL DE SALUD,187879,6,0.861,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital -> Nuevo Sitio Web FONASA - Fondo Nacional de Salud,158594,132.0,291.0,442.0,estable_completo,False
