institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0.017342347522793823,0.0,,,214.16109422492448,214.16109422492448,100.0,0.6509455751517461,0.0,normal,0.1236382511062738,35.25835866261398,0.03195975370462098,-0.17969952535942363,197.1963613431039,317.1000396910602,100.0,0.5993810375170331,0.0010589495080311432,normal,329,82350032,0.032141351029019806,100.0,0.5267953147625124,100.0,0.8796791443850267,0.3501186151679146
SERVICIO DE IMPUESTOS INTERNOS,0.01743884960328007,7.29483282674772,,,212.81097560975613,212.81097560975618,99.69604863221885,0.6488139500297443,0.0,normal,0.1278775463076371,49.544072948328264,0.0360981911287529,-0.0878881208620742,191.49213258333253,315.69347482649613,99.69604863221885,0.583817477388209,0.001058226806187863,normal,328,68084356,0.02743890948696306,99.73262032085562,0.011404854410689452,99.73262032085562,0.8770134500081024,0.3522600134258223
FONDO NACIONAL DE SALUD,0.017451462443911863,8.206686930091186,,,203.46728971962617,203.46728971962614,98.78419452887537,0.6338544851078697,0.0,normal,0.1341099707873252,72.03647416413374,0.04161588132876179,-0.024108419570581303,178.3001052965569,308.63136345088594,98.17629179331307,0.5554520414222957,0.0011103761334683557,normal,321,60969963,0.018020473762094414,98.93048128342245,5.734684807386274e-05,98.66310160427807,0.858796553420397,0.36728971962616824
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0.017446886458650803,7.90273556231003,,,202.14999999999984,202.14999999999995,98.48024316109422,0.6317187499999994,0.0,normal,0.13473912252752757,73.55623100303951,0.042141657776877645,-0.0042634550987283,177.7398575369519,307.69839447389387,97.87234042553192,0.5554370548029747,0.0011146105870021932,normal,320,59359308,0.017497234975963356,98.66310160427807,0.0010752534013849264,98.93048128342245,0.8562557352150112,0.369435736677116
SECRETARIA DE GOBIERNO DIGITAL,0.01746622096613281,9.118541033434651,,,208.80307692307647,208.80307692307662,99.3920972644377,0.6424710059171583,0.0,normal,0.13372105656407093,71.12462006079028,0.041637272711345125,0.001900959668445639,181.98170974982168,312.5803003167948,99.08814589665653,0.5599437223071436,0.0010887423453243932,normal,325,58507454,0.022156786888959668,99.46524064171123,0.006093102607847916,99.46524064171123,0.8691124279359573,0.35863247863247866
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0.017414142433748187,6.382978723404255,,,198.17981072555233,198.17981072555224,97.87234042553192,0.6251729044970105,0.0,normal,0.1348058347259669,74.16413373860182,0.0418962946296943,-0.012956164097463446,174.0212732831605,304.60652161575507,96.96048632218846,0.548963007202399,0.0011228651520066163,normal,317,55609461,0.01591499002767348,98.1283422459893,0.0,49.19786096256685,0.8487226935562281,0.3760132571976201
SUBSECRETARIA DE EVALUACION SOCIAL,0.017446386675968106,7.598784194528875,,,200.836990595611,200.83699059561104,98.17629179331307,0.6295830426194703,0.0,normal,0.13655479048224103,77.20364741641338,0.04385362688563729,0.06907386697488695,176.15280382159395,306.6704865610809,97.26443768996961,0.5522031467761566,0.0011205528247777796,normal,319,53025958,0.01700029722938043,98.3957219251337,0.004229330045447377,99.19786096256684,0.8537299070875333,0.3715817905798387
COMISION PARA EL MERCADO FINANCIERO,0.017452985400792452,8.51063829787234,,,206.12693498451995,206.12693498451995,99.08814589665653,0.6381638854009906,0.0,normal,0.13162062190127985,61.09422492401215,0.03933232039769061,-0.05250646979067197,182.472400794794,310.51477482730047,99.3920972644377,0.5649300334204148,0.0010714819033974471,normal,323,48905616,0.019846903637584547,99.19786096256684,0.0,49.19786096256685,0.8639236970229068,0.36295982924062076
INSTITUTO DE PREVISION SOCIAL,0.01738959805884998,4.25531914893617,,,191.54487179487214,191.54487179487217,97.56838905775076,0.6139258711374107,0.0,normal,0.1383162982337255,80.24316109422493,0.04488001009116968,0.02379311597270182,168.5023306497015,299.52370688670345,94.83282674772036,0.5400715725951971,0.0011381265937908825,normal,312,46279473,0.013206658811865672,97.86096256684492,0.0,49.19786096256685,0.8364579147476121,0.3873155247753319
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,0.01737092452584117,1.82370820668693,,,174.67892976588635,174.67892976588627,94.52887537993921,0.5842104674444359,0.0,normal,0.13799804694857853,79.63525835866263,0.043151684120760314,-0.12464322622438756,161.40586827963992,286.40630238230074,91.1854103343465,0.5398189574569897,0.0011710004525231042,normal,299,36163225,0.009500818681069598,95.72192513368985,0.0,49.19786096256685,0.806168352375136,0.4171847994433346
PODER JUDICIAL,0.01738380738438127,3.951367781155015,,,190.20257234726708,190.20257234726708,97.26443768996961,0.611583833914042,0.0,normal,0.13206430740995667,63.22188449848024,0.03852165720419265,-0.11030660420350302,173.79967988704192,298.3049530653849,96.65653495440729,0.5588414144277876,0.0010867402581390398,normal,311,35100435,0.012658501454845348,97.59358288770053,0.0,49.19786096256685,0.8340473732065526,0.3896691214604294
DIRECCION DEL TRABAJO,0.017365703169621834,0.911854103343465,,,178.56953642384096,178.56953642384084,95.74468085106383,0.5912898557080827,0.0,normal,0.13585062125234457,75.98784194528876,0.04133502743702977,-0.13280182590027143,164.74254097924634,289.3165017007015,93.9209726443769,0.545505102580286,0.0011447408481708493,normal,302,34381869,0.01025232245485471,95.98930481283422,0.0,49.19786096256685,0.8129619059063871,0.4100679853028536
