institucion,comunidad_modal
ACADEMIA POLITECNICA NAVAL,2
ACEPTA.COM S.A.,4
AFP CUPRUM,4
AFP MODELO,4
AFP UNO,1
AGENCIA DE CALIDAD DE LA EDUCACION,3
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,4
AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMATICO,4
AGENCIA NACIONAL DE CIBERSEGURIDAD,4
AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,4
AGROSEGUROS,1
ARMADA DE CHILE,2
BANCO CENTRAL DE CHILE,4
BID-LOCAL,4
BPO ADVISORS SPA,4
CAJA DE PREVISION DE LA DEFENSA NACIONAL,2
CAMARA DE DIPUTADOS DE CHILE,4
CARABINEROS DE CHILE,1
CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIOS DE SALUD,4
CENTRO DE FORMACION TECNICA DE LA REGION DE TARAPACA,1
CENTRO DE FORMACION TECNICA DE LA REGION DE VALPARAISO,1
CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE,1
CERTIFICADORA DEL SUR,4
CERTINET S.A.,4
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,4
COMISION CHILENA DE ENERGIA NUCLEAR,4
COMISION CHILENA DEL COBRE,1
COMISION NACIONAL DE ENERGIA,4
COMISION NACIONAL DE RIEGO,4
COMISION PARA EL MERCADO FINANCIERO,1
COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,4
CONSEJO DE DEFENSA DEL ESTADO,4
CONSEJO NACIONAL DE EDUCACION,1
CONSEJO NACIONAL DE TELEVISION,4
CONSEJO PARA LA TRANSPARENCIA,4
CONTRALORIA GENERAL DE LA REPUBLICA,4
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION DEL BIOBIO,1
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,1
CORPORACION DE EDUCACION Y SALUD DE LAS CONDES,4
CORPORACION DE FOMENTO DE LA PRODUCCION,4
CORPORACION NACIONAL DE DESARROLLO INDIGENA,1
CORPORACION NACIONAL FORESTAL Y DE PROTECCION DE RECURSOS NATURALES RENOVABLES,4
DEFENSA CIVIL DE CHILE,4
DEFENSORIA PENAL PUBLICA,1
DIRECCION DE ARQUITECTURA,4
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,4
DIRECCION DE CONTABILIDAD Y FINANZAS,4
DIRECCION DE EDUCACION PUBLICA,4
DIRECCION DE PRESUPUESTOS,4
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,4
DIRECCION DE VIALIDAD,4
DIRECCION DEL TRABAJO,1
DIRECCION GENERAL DE AERONAUTICA CIVIL,4
DIRECCION GENERAL DE AGUAS,4
DIRECCION GENERAL DE MOVILIZACION NACIONAL,4
DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,4
DIRECCION GENERAL DEL CREDITO PRENDARIO,4
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,4
DIRECCION NACIONAL DE FRONTERAS Y LIMITES DEL ESTADO,1
DIRECCION NACIONAL DEL SERVICIO CIVIL,4
DOCDIGITAL,4
E-CERT CHILE,4
E-DIGITAL PKI SPA.,4
E-PROCESS,4
E-SIGN S.A.,4
EJERCITO DE CHILE,4
FISCALIA NACIONAL ECONOMICA,4
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,1
FONDO NACIONAL DE SALUD,1
FUERZA AEREA DE CHILE,4
