institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
ACADEMIA POLITECNICA NAVAL,0.0,False
ACEPTA.COM S.A.,0.0,False
AFP CUPRUM,0.0,False
AFP MODELO,0.0,False
AFP UNO,0.0,False
AGENCIA DE CALIDAD DE LA EDUCACION,0.02,False
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,0.0,False
AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMATICO,0.04,False
AGENCIA NACIONAL DE CIBERSEGURIDAD,0.01,False
AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,0.44,True
AGROSEGUROS,0.0,False
ARMADA DE CHILE,0.0,False
BANCO CENTRAL DE CHILE,0.0,False
BID-LOCAL,0.08,False
BPO ADVISORS SPA,0.0,False
CAJA DE PREVISION DE LA DEFENSA NACIONAL,0.0,False
CAMARA DE DIPUTADOS DE CHILE,0.25,True
CARABINEROS DE CHILE,0.0,False
CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIOS DE SALUD,0.0,False
CENTRO DE FORMACION TECNICA DE LA REGION DE TARAPACA,0.0,False
CENTRO DE FORMACION TECNICA DE LA REGION DE VALPARAISO,0.0,False
CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE,0.0,False
CERTIFICADORA DEL SUR,0.0,False
CERTINET S.A.,0.0,False
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,0.0,False
COMISION CHILENA DE ENERGIA NUCLEAR,0.0,False
COMISION CHILENA DEL COBRE,0.0,False
COMISION NACIONAL DE ENERGIA,0.04,False
COMISION NACIONAL DE RIEGO,0.04,False
COMISION PARA EL MERCADO FINANCIERO,0.0,False
COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,0.1,False
CONSEJO DE DEFENSA DEL ESTADO,0.0,False
CONSEJO NACIONAL DE EDUCACION,0.0,False
CONSEJO NACIONAL DE TELEVISION,0.0,False
CONSEJO PARA LA TRANSPARENCIA,0.0,False
CONTRALORIA GENERAL DE LA REPUBLICA,0.09,False
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION DEL BIOBIO,0.0,False
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,0.0,False
CORPORACION DE EDUCACION Y SALUD DE LAS CONDES,0.0,False
CORPORACION DE FOMENTO DE LA PRODUCCION,0.04,False
CORPORACION NACIONAL DE DESARROLLO INDIGENA,0.0,False
CORPORACION NACIONAL FORESTAL Y DE PROTECCION DE RECURSOS NATURALES RENOVABLES,0.44,True
DEFENSA CIVIL DE CHILE,0.0,False
DEFENSORIA PENAL PUBLICA,0.0,False
DIRECCION DE ARQUITECTURA,0.06,False
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,0.46,True
DIRECCION DE CONTABILIDAD Y FINANZAS,0.01,False
DIRECCION DE EDUCACION PUBLICA,0.02,False
DIRECCION DE PRESUPUESTOS,0.22,True
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,0.0,False
DIRECCION DE VIALIDAD,0.01,False
DIRECCION DEL TRABAJO,0.0,False
DIRECCION GENERAL DE AERONAUTICA CIVIL,0.0,False
DIRECCION GENERAL DE AGUAS,0.04,False
DIRECCION GENERAL DE MOVILIZACION NACIONAL,0.0,False
DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,0.18,False
DIRECCION GENERAL DEL CREDITO PRENDARIO,0.0,False
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,0.0,False
DIRECCION NACIONAL DE FRONTERAS Y LIMITES DEL ESTADO,0.0,False
DIRECCION NACIONAL DEL SERVICIO CIVIL,0.0,False
DOCDIGITAL,0.0,False
E-CERT CHILE,0.0,False
E-DIGITAL PKI SPA.,0.0,False
E-PROCESS,0.05,False
E-SIGN S.A.,0.0,False
EJERCITO DE CHILE,0.0,False
FISCALIA NACIONAL ECONOMICA,0.01,False
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,0.0,False
FONDO NACIONAL DE SALUD,0.0,False
FUERZA AEREA DE CHILE,0.0,False
GENDARMERIA DE CHILE,0.0,False
GOBIERNO REGIONAL DE LA REGION AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,0.13,False
GOBIERNO REGIONAL DE LA REGION DE ANTOFAGASTA,0.11,False
GOBIERNO REGIONAL DE LA REGION DE ARICA Y PARINACOTA,0.05,False
GOBIERNO REGIONAL DE LA REGION DE COQUIMBO,0.05,False
GOBIERNO REGIONAL DE LA REGION DE LA ARAUCANIA,0.08,False
GOBIERNO REGIONAL DE LA REGION DE LOS LAGOS,0.05,False
GOBIERNO REGIONAL DE LA REGION DE VALPARAISO,0.09,False
GOBIERNO REGIONAL DE LA REGION METROPOLITANA DE SANTIAGO,0.0,False
HCC CALAMA,0.0,False
HOSPITAL BASE VALDIVIA,0.0,False
HOSPITAL REGIONAL DE ARICA Y PARINACOTA DR. JUAN NOE CREVANI,0.05,False
HOSPITAL REGIONAL DE TALCA,0.51,True
ILUSTRE MUNICIPALIDAD DE LAGO RANCO,0.0,False
INSTITUCION,0.0,False
INSTITUTO ANTARTICO CHILENO,0.0,False
INSTITUTO DE DESARROLLO AGROPECUARIO,0.0,False
INSTITUTO DE PREVISION SOCIAL,0.0,False
INSTITUTO DE SALUD PUBLICA DE CHILE,0.0,False
INSTITUTO DE SEGURIDAD LABORAL,0.0,False
