corrida,seed,Q,n_comunidades
0,42,0.024598501317814898,4
1,43,0.024612825807458195,3
2,44,0.023675858676172078,3
3,45,0.022323210842571283,4
4,46,0.023739870420202962,4
5,47,0.02461538351965352,5
6,48,0.014479226804666215,4
7,49,0.02461538351965352,5
8,50,0.022323210842571283,4
9,51,0.014033298866507912,5
10,52,0.014531437539971215,4
11,53,0.02461538351965352,5
12,54,0.02461538351965352,5
13,55,0.01511767583571566,3
14,56,0.02254722748140908,4
15,57,0.024615383519653523,5
16,58,0.022491572306695448,3
17,59,0.02461538351965352,5
18,60,0.024615383519653523,5
19,61,0.022323210842571283,4
20,62,0.02461538351965352,5
21,63,0.022323210842571283,4
22,64,0.024615383519653523,5
23,65,0.02232321084257128,4
24,66,0.01538023241835053,3
25,67,0.024615383519653523,5
26,68,0.02461538351965352,5
27,69,0.02461538351965352,5
28,70,0.023675858676172078,3
29,71,0.015198712340874509,3
30,72,0.023675858676172078,3
31,73,0.022282645101166475,3
32,74,0.02466850159947568,4
33,75,0.022323210842571283,4
34,76,0.015198352764106866,3
35,77,0.024529887431325077,3
36,78,0.022323210842571283,4
37,79,0.022323210842571283,4
38,80,0.015117675835715662,3
39,81,0.024597874905674954,4
40,82,0.023715457912333864,3
41,83,0.022323210842571283,4
42,84,0.02461538351965352,5
43,85,0.023675858676172078,3
44,86,0.022323210842571283,4
45,87,0.015198352764106866,3
46,88,0.014481223005670604,4
47,89,0.02461538351965352,5
48,90,0.022323210842571283,4
49,91,0.02461538351965352,5
50,92,0.01501617367255103,3
51,93,0.023675858676172078,3
52,94,0.02373987042020296,4
53,95,0.01511767583571566,3
54,96,0.02254722748140908,4
55,97,0.022323210842571283,4
56,98,0.02461538351965352,5
57,99,0.024597874905674954,4
58,100,0.02461538351965352,5
59,101,0.022282645101166475,3
60,102,0.024615383519653523,5
61,103,0.014479226804666215,4
62,104,0.01512469393603425,3
63,105,0.02461538351965352,5
64,106,0.015168108065345586,3
65,107,0.015380839105928183,3
66,108,0.022323210842571283,4
67,109,0.02461538351965352,5
68,110,0.022323210842571283,4
69,111,0.024615383519653523,5
70,112,0.02461538351965352,5
71,113,0.02461538351965352,5
72,114,0.015117675835715662,3
73,115,0.015117675835715662,3
74,116,0.02461538351965352,5
75,117,0.01511767583571566,3
76,118,0.022323210842571283,4
77,119,0.023675858676172078,3
78,120,0.024615383519653523,5
79,121,0.022323210842571283,4
80,122,0.022323210842571283,4
81,123,0.02456055866614243,4
82,124,0.022323210842571283,4
83,125,0.02232321084257128,4
84,126,0.02461538351965352,5
85,127,0.024615383519653523,5
86,128,0.01640118918725435,4
87,129,0.02459787490567495,4
88,130,0.022323210842571283,4
89,131,0.022282645101166475,3
90,132,0.024668501599475683,4
91,133,0.022323210842571283,4
92,134,0.015198712340874509,3
93,135,0.014479226804666215,4
94,136,0.024668501599475683,4
95,137,0.022282645101166475,3
96,138,0.022282645101166475,3
97,139,0.022323210842571283,4
98,140,0.02466850159947568,4
99,141,0.022323210842571283,4
