red,gamma,n_corridas,semilla_base,Q_clasica_media,Q_clasica_de,Q_objetivo_gamma_media,Q_objetivo_gamma_de,n_comunidades_media,n_comunidades_de,tam_comunidad_mayor_media,tam_comunidad_mayor_de,frac_nodos_en_comunidades_singleton
bruto,0.5,20,42,0.0,0.0,0.5,0.0,1.0,0.0,330.0,0.0,0.0
bruto,0.75,20,42,0.0,0.0,0.25,0.0,1.0,0.0,330.0,0.0,0.0
bruto,1.0,20,42,0.02217140658832536,0.0032713992860400193,0.02217140658832536,0.0032713992860400193,4.1,0.7181848464596079,215.65,16.102549651007383,0.0
bruto,1.5,20,42,-0.020010538118078378,0.0008397002892784219,-0.04328691310331896,7.983796009019718e-05,37.35,1.1367080817685318,115.6,24.628609807551694,0.020454545454545454
bruto,2.0,20,42,-0.027026149552664906,0.00019352056369552524,-0.06258507984825093,3.1201438545575934e-05,60.0,1.5894388284780525,87.55,5.286278165411395,0.06151515151515151
bruto,4.0,20,42,-0.03113027414820632,1.4388852217224914e-05,-0.1299549377968522,2.1302812869287033e-06,114.6,1.353358395757909,46.85,1.5652475842498528,0.20136363636363636
lift,0.5,20,42,0.5151524596018628,0.0026688672653981302,0.7028395681547399,0.0010180948993613044,7.0,0.0,292.05,1.4680814547887784,0.0
lift,0.75,20,42,0.5334095747897587,0.0025729294459639466,0.6159696270071802,0.0009863521324684024,8.7,0.47016234598162726,278.2,1.7651599003161753,0.0
lift,1.0,20,42,0.5481968848352273,0.0005673840700651873,0.5481968848352273,0.0005673840700651873,10.7,0.7326950970650465,207.95,6.549206460568937,0.0
lift,1.5,20,42,0.5358787731503944,0.001010227487642732,0.47974182349614203,0.0009003196810669647,16.2,0.4103913408340616,161.55,5.083254241547487,0.0
lift,2.0,20,42,0.5140223354635016,0.003625723127489866,0.42939477523836383,0.0009856249044470512,22.0,0.6488856845230502,116.45,16.03770228981827,0.0
lift,4.0,20,42,0.46322377606857906,0.0013679091382326105,0.3094467209653993,0.00033579038310353065,57.55,1.8771478925557026,31.4,4.500292388161837,0.031363636363636364
