comunidad,tamano_comunidad,institucion,gamma,semilla
0,47,AGENCIA NACIONAL DE CIBERSEGURIDAD,4.0,42
0,47,BID-LOCAL,4.0,42
0,47,CAMARA DE DIPUTADOS DE CHILE,4.0,42
0,47,COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,4.0,42
0,47,CONTRALORIA GENERAL DE LA REPUBLICA,4.0,42
0,47,DIRECCION DE PRESUPUESTOS,4.0,42
0,47,DOCDIGITAL,4.0,42
0,47,GOBIERNO REGIONAL DE LA REGION DE ANTOFAGASTA,4.0,42
0,47,GOBIERNO REGIONAL DE LA REGION DE LA ARAUCANIA,4.0,42
0,47,GOBIERNO REGIONAL DE LA REGION DE VALPARAISO,4.0,42
0,47,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECAS,4.0,42
0,47,MINISTERIO DE OBRAS PUBLICAS,4.0,42
0,47,MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,4.0,42
0,47,MUNICIPALIDAD DE COYHAIQUE,4.0,42
0,47,MUNICIPALIDAD DE CURARREHUE,4.0,42
0,47,MUNICIPALIDAD DE EL BOSQUE,4.0,42
0,47,MUNICIPALIDAD DE LICANTEN,4.0,42
0,47,MUNICIPALIDAD DE MELIPILLA,4.0,42
0,47,MUNICIPALIDAD DE NACIMIENTO,4.0,42
0,47,MUNICIPALIDAD DE NAVIDAD,4.0,42
0,47,MUNICIPALIDAD DE PUERTO VARAS,4.0,42
0,47,MUNICIPALIDAD DE RENAICO,4.0,42
0,47,MUNICIPALIDAD DE SAN FERNANDO,4.0,42
0,47,MUNICIPALIDAD DE SAN JOAQUIN,4.0,42
0,47,MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,4.0,42
0,47,MUNICIPALIDAD DE TALTAL,4.0,42
0,47,MUNICIPIOS,4.0,42
0,47,PRIMER TRIBUNAL ELECTORAL,4.0,42
0,47,SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,4.0,42
0,47,SERVICIO DE SALUD ATACAMA,4.0,42
0,47,SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,4.0,42
0,47,SIMPLE,4.0,42
0,47,SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,4.0,42
0,47,SUBSECRETARIA DE OBRAS PUBLICAS,4.0,42
0,47,SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,4.0,42
0,47,SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,4.0,42
0,47,TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE BIOBIO,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE COQUIMBO,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE LOS RIOS,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE MAULE,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE O’HIGGINS,4.0,42
0,47,TRIBUNAL ELECTORAL REGION DE VALPARAISO,4.0,42
0,47,TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,4.0,42
0,47,UNIDAD DE ANALISIS FINANCIERO,4.0,42
1,20,ILUSTRE MUNICIPALIDAD DE LAGO RANCO,4.0,42
1,20,MUNICIPALIDAD DE COQUIMBO,4.0,42
1,20,MUNICIPALIDAD DE CORONEL,4.0,42
1,20,MUNICIPALIDAD DE LAUTARO,4.0,42
1,20,MUNICIPALIDAD DE LLANQUIHUE,4.0,42
1,20,MUNICIPALIDAD DE LOS VILOS,4.0,42
1,20,MUNICIPALIDAD DE MAULLIN,4.0,42
1,20,MUNICIPALIDAD DE PANGUIPULLI,4.0,42
1,20,MUNICIPALIDAD DE PITRUFQUEN,4.0,42
1,20,MUNICIPALIDAD DE PUCON,4.0,42
1,20,MUNICIPALIDAD DE PUERTO MONTT,4.0,42
