servicio_a,servicio_b,soporte_co_ocurrencia,n_a_antes_b,n_b_antes_a,direccion_dominante,frac_direccion_dominante,clasificacion,nombre_a,nombre_b
347178b052294153af290d6a84589868,d602a0071f3f4db8b37a87cffd89bf23,252725,17414,235311,d602a0071f3f4db8b37a87cffd89bf23->347178b052294153af290d6a84589868,0.9311,consistente,Mi Fiscalía en Línea - Ministerio Público,PJUD - PODER JUDICIAL
2549b51828ce40af920a932dd2102217,495c261c0f484bd08e232f7358452c4d,121747,60489,61258,495c261c0f484bd08e232f7358452c4d->2549b51828ce40af920a932dd2102217,0.5032,mixto,undefined - Servicio de Impuestos Internos,undefined - Comisión para el Mercado Financiero
ae4caa1cb2154cac89440f3fe18251cb,d602a0071f3f4db8b37a87cffd89bf23,70410,33296,37114,d602a0071f3f4db8b37a87cffd89bf23->ae4caa1cb2154cac89440f3fe18251cb,0.5271,mixto,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial,PJUD - PODER JUDICIAL
2549b51828ce40af920a932dd2102217,9a76efc4c34e4bd7843206658dc45454,17428,3604,13824,9a76efc4c34e4bd7843206658dc45454->2549b51828ce40af920a932dd2102217,0.7932,mixto,undefined - Servicio de Impuestos Internos,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
91f3f86897ff4ae39e50cbd7035fa8af,eae6a8d122774db4ba88162a875db6a6,9705,4185,5520,eae6a8d122774db4ba88162a875db6a6->91f3f86897ff4ae39e50cbd7035fa8af,0.5688,mixto,APIs Receta Electrónica - Subsecretaría de Salud Pública,Recetas en línea - Acceso Químico farmacéutico - Subsecretaría de Salud Pública
123,2549b51828ce40af920a932dd2102217,8176,4474,3702,123->2549b51828ce40af920a932dd2102217,0.5472,mixto,Registro Civil - SRCeI,undefined - Servicio de Impuestos Internos
495c261c0f484bd08e232f7358452c4d,9a76efc4c34e4bd7843206658dc45454,8046,2065,5981,9a76efc4c34e4bd7843206658dc45454->495c261c0f484bd08e232f7358452c4d,0.7434,mixto,undefined - Comisión para el Mercado Financiero,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
123,9a76efc4c34e4bd7843206658dc45454,6873,1316,5557,9a76efc4c34e4bd7843206658dc45454->123,0.8085,mixto,Registro Civil - SRCeI,Portal Ciudadano ClaveÚnica - Secretaría de Gobierno Digital
123,ffaec74bfd414f8394bab077a989e27f,6289,1607,4682,ffaec74bfd414f8394bab077a989e27f->123,0.7445,mixto,Registro Civil - SRCeI,miChileAtiende - Instituto de Previsión Social
347178b052294153af290d6a84589868,ae4caa1cb2154cac89440f3fe18251cb,6161,2885,3276,ae4caa1cb2154cac89440f3fe18251cb->347178b052294153af290d6a84589868,0.5317,mixto,Mi Fiscalía en Línea - Ministerio Público,Ingreso de causas y escritos - Corporación Administrativa del Poder Judicial
123,dd7629fec91f4599b3cf8c0dd0b984ac,6105,3826,2279,123->dd7629fec91f4599b3cf8c0dd0b984ac,0.6267,mixto,Registro Civil - SRCeI,Sucursal Virtual FONASA - Fondo Nacional de Salud
123,d602a0071f3f4db8b37a87cffd89bf23,5388,2476,2912,d602a0071f3f4db8b37a87cffd89bf23->123,0.5405,mixto,Registro Civil - SRCeI,PJUD - PODER JUDICIAL
67eb30db49f240b08ab2b3f422f92cdf,e8dde9d26979498786c6ba5a82f70ad3,4705,3244,1461,67eb30db49f240b08ab2b3f422f92cdf->e8dde9d26979498786c6ba5a82f70ad3,0.6895,mixto,Portal MiDT - Dirección del Trabajo,"undefined - Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile"
2549b51828ce40af920a932dd2102217,d602a0071f3f4db8b37a87cffd89bf23,4470,1949,2521,d602a0071f3f4db8b37a87cffd89bf23->2549b51828ce40af920a932dd2102217,0.564,mixto,undefined - Servicio de Impuestos Internos,PJUD - PODER JUDICIAL
1bb1657eb2eb43808f0529810258aa3b,347178b052294153af290d6a84589868,3994,2558,1436,1bb1657eb2eb43808f0529810258aa3b->347178b052294153af290d6a84589868,0.6405,mixto,Autenticación Sistemas DPP - Defensoría Penal Pública,Mi Fiscalía en Línea - Ministerio Público
