servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
d602a0071f3f4db8b37a87cffd89bf23,347178b052294153af290d6a84589868,235311,consistente,0.0039,0.0255,234.0,723.0,1079.0,1111.0
495c261c0f484bd08e232f7358452c4d,2549b51828ce40af920a932dd2102217,61258,mixto,0.1211,0.1973,102.0,338.0,678.0,1111.0
d602a0071f3f4db8b37a87cffd89bf23,ae4caa1cb2154cac89440f3fe18251cb,37114,mixto,0.1535,0.3248,21.0,256.0,619.0,1043.0
9a76efc4c34e4bd7843206658dc45454,2549b51828ce40af920a932dd2102217,13824,mixto,0.8128,0.93,1.0,1.0,2.0,105.85
9a76efc4c34e4bd7843206658dc45454,495c261c0f484bd08e232f7358452c4d,5981,mixto,0.9304,0.9841,0.0,1.0,1.0,8.0
9a76efc4c34e4bd7843206658dc45454,123,5557,mixto,0.391,0.8283,3.0,7.0,28.0,362.2
eae6a8d122774db4ba88162a875db6a6,91f3f86897ff4ae39e50cbd7035fa8af,5520,mixto,0.0214,0.2056,73.0,163.5,278.0,473.0
ffaec74bfd414f8394bab077a989e27f,123,4682,mixto,0.2629,0.8163,4.0,9.0,32.0,460.7
123,2549b51828ce40af920a932dd2102217,4474,mixto,0.055,0.2709,56.0,169.0,398.5,848.45
123,dd7629fec91f4599b3cf8c0dd0b984ac,3826,mixto,0.3395,0.8372,3.0,8.0,27.0,353.0
ae4caa1cb2154cac89440f3fe18251cb,347178b052294153af290d6a84589868,3276,mixto,0.0455,0.2448,62.0,273.0,499.0,1235.0
67eb30db49f240b08ab2b3f422f92cdf,e8dde9d26979498786c6ba5a82f70ad3,3244,mixto,0.1803,0.5986,6.0,30.0,190.0,829.55
9a76efc4c34e4bd7843206658dc45454,e8dde9d26979498786c6ba5a82f70ad3,2983,mixto,0.4438,0.8166,2.0,6.0,31.0,634.6
d602a0071f3f4db8b37a87cffd89bf23,123,2912,mixto,0.0817,0.3956,20.0,127.0,462.25,996.0
1bb1657eb2eb43808f0529810258aa3b,347178b052294153af290d6a84589868,2558,mixto,0.027,0.2068,78.0,198.0,440.0,962.0
d602a0071f3f4db8b37a87cffd89bf23,2549b51828ce40af920a932dd2102217,2521,mixto,0.0424,0.261,56.0,223.0,468.0,958.0
ed07316d9d6344a9ab11e8a41fdc413a,ae412e532f1a48428bd0c5ad1f02f816,2134,mixto,0.0206,0.209,73.0,156.0,259.0,417.0
94d27864f86d422faa68efccb908cc34,2549b51828ce40af920a932dd2102217,1904,mixto,0.4648,0.8414,2.0,5.0,18.25,387.0
c82f84bf3f2b451393445a0cb6883665,2549b51828ce40af920a932dd2102217,1856,mixto,0.0819,0.4795,16.0,66.5,194.0,699.25
0f33ab6447034fe49d1629353a119e47,4a94478dd25f4430a0a023b87e11170d,1760,mixto,0.229,0.4801,5.0,69.5,401.5,1004.15
67339e06f4b44f78994ff4785178807a,2549b51828ce40af920a932dd2102217,1660,mixto,0.0627,0.2988,40.0,153.0,355.0,881.05
d602a0071f3f4db8b37a87cffd89bf23,f883bd6d70b043a09837e8b888fe3f65,1633,mixto,0.0043,0.1139,145.0,340.0,611.0,848.0
c82f84bf3f2b451393445a0cb6883665,123,1564,mixto,0.1349,0.587,9.0,34.5,205.25,911.45
1ad6835586034de0b29f4a402b182c6c,123,1559,mixto,0.1398,0.626,8.0,25.0,134.0,825.0
1bb1657eb2eb43808f0529810258aa3b,d602a0071f3f4db8b37a87cffd89bf23,1490,mixto,0.0503,0.2161,77.0,230.0,512.0,1039.0
2549b51828ce40af920a932dd2102217,e8dde9d26979498786c6ba5a82f70ad3,1423,mixto,0.4912,0.7316,1.0,5.0,68.5,979.0
123,ae4caa1cb2154cac89440f3fe18251cb,1399,mixto,0.1151,0.5718,10.0,38.0,224.0,863.0
2549b51828ce40af920a932dd2102217,f883bd6d70b043a09837e8b888fe3f65,1398,mixto,0.0229,0.166,97.25,235.0,379.75,918.0
67339e06f4b44f78994ff4785178807a,b972e814004e4624a566f308901cca7c,1389,mixto,0.0086,0.1713,88.0,183.0,324.0,508.6
123,9ae54d261e454c93ae1c2cdec0fd03e6,1369,mixto,0.3119,0.8663,4.0,9.0,26.0,196.2
d602a0071f3f4db8b37a87cffd89bf23,1ad6835586034de0b29f4a402b182c6c,1349,mixto,0.0371,0.3336,38.0,158.0,492.0,1105.0
c82f84bf3f2b451393445a0cb6883665,d602a0071f3f4db8b37a87cffd89bf23,1342,mixto,0.0738,0.3689,23.0,143.5,484.0,1027.7
2549b51828ce40af920a932dd2102217,ee00832abfba40b38335ce48a12981b5,1255,mixto,0.29,0.6988,4.0,15.0,87.5,733.4
ffaec74bfd414f8394bab077a989e27f,c82f84bf3f2b451393445a0cb6883665,1234,mixto,0.0972,0.5332,14.0,49.0,318.0,1042.4
